漢字	同音同調	同音異調	近音同調	近音異調	同部首同筆畫數
恆	桁衡橫	亨橫哼	縫痕汾逢墳馮焚	瘋峰氛豐諷吩分很芬份豐鳳奮楓鋒烽風俸棻恨奉狠糞縫蜂紛忿憤封粉	急恃恢恤怠怎恨恪恫怨恬恍恰怒思
恃	拭式軾適是柿飾奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	急恢恤怠恆怎恨恪恫怨恬恍恰怒思
恬	甜畋填田闐	靦腆舔添忝天		奠甸店顛點碘典靛玷佃惦滇電鈿澱殿墊巔癲	急恃恢恤怠恆怎恨恪恫怨恍恰怒思
恫	通胴洞棟凍動	瞳銅同峒桐僮董桶彤痛慟東冬潼鼕筒童懂統咚	鈍蹲囤褪痛頓惇遁東慟冬燉吞鼕噸墩沌盾敦盹咚	鈍銅蹲桐僮棟惇豚洞潼屯筒墩臀動懂沌統飩瞳同褪囤峒董桶彤頓遁燉胴通吞躉噸凍童盾盹敦	急恃恢恤怠恆怎恨恪怨恬恍恰怒思
恪	嗑課確雀闕客溘怯剋卻髁可闋鵲殼喀克緙榷刻	軻闕坷稞棵渴磕瘸缺可咳殼窠柯科刻顆苛蚵瞌蝌	倔鉻各個箇	獗蹶哥咯劂蛤鎘角孓隔膈閣閤訣葛鴿鴃掘鱖抉決譎郃歌格戈骼嗟疙腳個倔擱玨割攫爵崛胳觼革覺蕨絕厥鬲嚼噱	急恃恢恤怠恆怎恨恫怨恬恍恰怒思
恤	敘畜洫絮酗婿蓄卹頊緒勗續旭序	墟胥吁戌許須徐訏鬚煦需虛咻栩噓	炬苣颶懼具巨踞瞿鉅倨劇遽屨距俱聚據句鋸足拒	莒咀舉桔疽橘蛆跼車駒俱拘狙侷掬菊局鋸沮鞠居齟矩	急恃恢怠恆怎恨恪恫怨恬恍恰怒思
扁	褊篇貶偏匾翩	片遍辯辮騙辨駢卞弁編蝙邊變汴釆鞭砭胼便			
拜	敗	襬白百擺佰			挑拭括拯拮挖拼持拽掛拾指拴按拷拱
挖	蛙窪哇呱媧	娃襪瓦			挑拭括拯拮拼持拽掛拜拾指拴按拷拱
按	菴黯暗案岸	諳鞍安氨庵銨俺鵪			挑拭括拯拮挖拼持拽掛拜拾指拴拷拱
拼	姘	頻品瀕聘嬪牝貧顰	娉乒	枰屏瓶坪評憑萍平馮蘋	挑拭括拯拮挖持拽掛拜拾指拴按拷拱
拭	恃式軾適是柿飾奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	挑括拯拮挖拼持拽掛拜拾指拴按拷拱
持	弛馳池踟匙遲墀栘	赤熾翅褫啻尺恥蚩癡呎侈癡叱敕吃齒斥嗤魑飭笞喫	辭疵祠雌茨瓷詞慈磁	賜疵此伺次雌廁刺差	挑拭括拯拮挖拼拽掛拜拾指拴按拷拱
拮	捷劫櫛桔截詰節羯訐傑竭桀睫擷孑結潔頡傑碣	姊階芥皆解街嗟戒揭疥界偕藉誡結姐借介接屆	攜協邪斜挾伽諧偕鞋擷茄頡脅勰	蟹切愜駭懈妾竊燮蠍楔洩血紲邂榭歇屜解洩寫屑怯些卸械且瀉謝褻契挈鍥	挑拭括拯挖拼持拽掛拜拾指拴按拷拱
拽	曄頁靨射咽夜鄴葉謁業	也噎琊椰野爺冶耶			挑拭括拯拮挖拼持掛拜拾指拴按拷拱
指	芷徵止紙趾祇只祉旨咫址	雉秩幟蛭志氏脂值肢執祇峙枝治支制質祗之芝誌姪稚窒植織梔泜痣智緻胝滯汁吱致置痔摭至摯製輊躑躓蜘直擲識知隻炙只職卮殖	仔訾紫滓籽子梓	恣淄漬錙緇貲咨茲字子姿孳資孜輜滋諮齜玆髭自吱	挑拭括拯拮挖拼持拽掛拜拾拴按拷拱
拱	礦鞏共汞廾	共攻工宮紅蚣恭躬肱功釭弓供貢龔公	輥鯀捆倥孔恐綑滾梱袞	倥琨焜崆錕昆空硿睏髡棍困坤控崑	挑拭括拯拮挖拼持拽掛拜拾指拴按拷
拷	考烤	靠犒銬	搞攪縞槁狗枸杲稿苟口	雊構夠扣搆寇高皋枸釦誥篙羔詬膏購告媾糕溝鉤勾垢佝遘叩睪句	挑拭括拯拮挖拼持拽掛拜拾指拴按拱
拯	整	政睜掙證征証錚正箏癥猙爭崢蒸怔鄭徵症丁諍幀	診枕縝怎疹	診貞真贈斟繒賑震珍砧憎偵榛曾振陣禎增枕鴆針楨朕臻娠甄鎮箴	挑拭括拮挖拼持拽掛拜拾指拴按拷拱
括	颳擴闊廓蛞蝸呱刮聒瓜	掛掛卦褂寡	誇過誇	猓槨跨胯堝郭幗果裹鍋國蟈摑垮	挑拭拯拮挖拼持拽掛拜拾指拴按拷拱
拾	麝攝捨赦塒石蝕食實涉時提葉設什碩十社射歙	拭豕恃軾是匙溼賒獅氏虱使視失蝨豉捨噓舌捨仕噬甚誓筮施室蛇嗜屍什逝屎舐奢式屍適柿飾奭士詩螫弒市示試始勢侍世史師濕識矢事駛釋	澀穡瑟嗇圾色塞	賜泗肆廝鷥飼巳伺嗣撕似耜絲思死四祀司兕私食寺駟斯俟姒嘶	挑拭括拯拮挖拼持拽掛拜指拴按拷拱
拴	栓閂	涮	痠酸	蒜算	挑拭括拯拮挖拼持拽掛拾拜指按拷拱
挑	窕	頫眺條佻調迢蜩覜窕跳	刁凋叼彫丟碉鯛貂雕	刁叼丟彫吊調掉凋釣碉鯛貂雕弔	拭括拯拮挖拼持拽掛拾拜指拴按拷拱
掛	掛卦褂	颳括蝸呱寡刮聒瓜	跨胯	誇誇垮	挑拭括拯拮挖拼持拽拾拜指拴按拷拱
政	掙證証鄭正症幀	睜掙拯征錚正箏癥猙爭整崢蒸怔徵丁諍	震陣娠鴆枕贈鎮朕賑振	禎增枕診貞縝真怎針楨斟繒疹臻珍砧憎榛偵甄曾箴	故
故	錮告顧估僱固雇	菰凸鴣鵠罟賈鼓穀估呱轂孤股谷滑沽蠱牯蛄瞽咕辜古詁鈷姑骨家	庫褲酷	骷窟苦楛枯哭	政
斫	鐲著擢酌濁卓拙濯灼琢啄茁	棹涿捉桌	昨作砟	作座左鑿做祚柞坐佐	
施	獅師濕虱詩屍失屍蝨溼噓	拭豕恃軾是匙氏拾使視豉仕噬蝕誓筮室提嗜什逝屎舐式適柿飾奭士碩螫十弒市示試始塒石食實時勢侍世史識矢射事駛釋	撕司廝絲斯鷥私思嘶	賜祀泗肆兕食飼巳嗣伺耜似寺駟姒俟思死四	
既	洎暨寄忌祭薊騎芰際劑繼薺記季稷髻霽技紀覬悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	愒系汐翕戲隙妻細磧棄汽係器矽企訖亟迄泣潟契夕繫憩砌緝歙氣	攜歧琪烯齊嬉蓆琦耆膝棋騎妻惜璽祺洗溪豈綺祁析乞啟祇期媳祈棲枝漆慼息蟋羲起錫蹊錡褶昔曦淅熹其悉淇旗禧犀萋麒行蜥淒稀希吸習欺臍徙畦晰鰭兮崎鰓圻杞熙奇岐柒衹釐喜譆谿稽犧唏嘻悽晞西席熄奚戚七襲檄僖	
春		淳鶉醇蠢純唇脣	衝沖瘡囪村窗舂創蔥匆皴充樅憧從聰	衝愴吋崇闖蟲蟲忖創寸寵撞淙床重搶幢從叢存	昨星昭是昱映昤昧
昭	釗召著朝招嘲晁	棹罩肇沼炤爪詔晁召著趙照兆找櫂	鄹粥遭舟周鄒啁週糟洲州陬	皂胄帚軸澡妯驟縐蚤造棗宙灶肘鑿燥噪藻奏冑紂揍晝譟走咒早皺籀躁	昨星是昱映昤春昧
映	應硬	纓瑩罌景郢鶯櫻贏鸚盈應英縈鷹穎蠅螢迎營膺熒嬰瑛嬴嚶瓔楹塋影瀛	胤印飲蔭隱	夤聽銀飲尹茵寅姻湮慇殷引癮鄞因齦淫音簷垠陰吟縯氤隱蚓霪	昨星昭是昱昤春昧
昧	媚袂妹沬瑁魅寐	楣每沒莓枚媒美黴眉玫鎂煤梅湄霉			昨星昭是昱映昤春
是	拭恃式軾適柿飾奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	昨星昭昱映昤春昧
星	惺興馨腥猩	邢醒性興幸形行刑倖杏悻姓省陘型硎	欣驚涇鋅心粳睛馨芯矜精筋襟更觔兢晶訢旌京巾莖金新鯨津禁莘荊菁薪斤浸辛經昕今	竟頸景信靖燼芯勁警靜縉徑謹瑾進井盡饉晉痙緊競噤淨僅禁儘鏡覲浸憬尋敬釁阱璟錦近逕境	昨昭是昱映昤春昧
昨	作砟	作座左鑿做祚柞坐佐	擢濁卓濯琢鐲著酌拙灼斫茁啄	棹涿捉桌	星昭是昱映昤春昧
昱	裕瘉澦禦域籲嫗馭喻獄玉欲譽禺熨峪燠癒寓愈諭御谷郁預語遇與煜慾芋育聿尉俞堉鬱豫浴毓	妤娛瘀宇逾褕竽蝓雨雩渝覦迂漁於語紆與噢齬餘余俞歟羽虞盂隅榆敔愚魚圉禺禹嶼輿愉圄淤腴臾諛庾圩瑜予萸於	戊晤惡寤騖物勿悟塢霧兀誤務鎢軏堊	武汙鵡巫侮吾亡誣無吳午五烏毋伍惡嗚鼯嫵於唔憮屋舞圬鎢捂污梧蕪蜈	昨星昭是映昤春昧
昤	齡蛉菱櫺玲翎聆鴒泠苓凌陵綾鈴靈羚零伶	領拎令另嶺	檸痳霖嚀麟鱗您獰凝林鄰燐淋寧磷擰轔遴臨琳璘	擰吝佞懍躪藺凜濘賃	昨星昭是昱映春昧
曷	嗑合蓋河郃翮和紇闔盍核荷貉禾劾盒閡何褐閤涸	嚇郝和訶喝鶴賀暍荷赫呵			
柿	拭恃式軾適是飾奭氏士使視螫弒市示試豉仕噬誓筮室勢侍世嗜識逝事釋舐	豕屍匙溼獅虱使拾詩碩失十蝨噓始塒石蝕實食施時提史師濕屍矢什屎射駛	賜祀泗肆兕食飼巳伺嗣似耜寺駟姒俟四	撕司廝絲斯鷥私思嘶死	柔枰柵某架柳柑柒枴染柱柝柞枸柙柚柄查柢柯柏柬枯柩
染	苒冉髯	然燃髯			柔枰柵某架柳柑柒枴柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
柱	鑄住箸杼助註苧駐蛀注佇祝	主軸築朱諸茱矚銖囑朮築屬燭煮渚竹竺拄藷侏硃誅蛛貯躅逐豬珠株		詛卒租祖俎足組阻族嗾	柔枰柵某架柳柑柒枴染柝柿柞枸柙柚柄查柢柯柏柬枯柩
柔	蹂揉鞣	肉	蟯嬈饒橈	繞擾	枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
某		眸繆牟謀	泖茆卯	貿帽瑁貓耄冒矛懋髦錨貌毛茅茂	柔枰柵架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
柬	繭筧減囝檢撿簡揀剪鹼儉瞼	件檻箋劍健僭見縑艦兼姦韉毽漸殲諫奸艱濺踐監箭間閒肩尖湔薦腱鍵建堅餞鑑鑒菅澗緘賤薦煎	顯蜆癬險銑淺鮮遣譴蘚	簽乾纖峴餡涎黔倩限莧舷暹銜啣韆鈐秈現祆嵌鮮羨鹹仟縴獻仙歉騫虔陷謙牽搴縣賢錢欠僩前塹嫌愆鉛千箝遷籤鹹鉗霰嫻阡姍腺閒絃閑憲弦蜆潛掀先線	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏枯柩
架	駕價賈假稼嫁	嘉假夏鉀頰加葭傢甲挾迦浹痂賈莢戛袈夾茄豭佳胛家	恰洽下暇嚇夏廈	狎暇俠轄霞斜柙挾峽匣洽卡狹蝦黠遐呷瞎瑕	柔枰柵某柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
枯	骷窟哭	苦庫楛褲酷	菰咕孤鴣辜鈷沽估姑呱蛄家	凸鵠雇罟賈鼓穀顧估僱故轂股告谷滑牯蠱瞽錮古詁鈷固骨	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬柩
柵	乍搾炸搾詐砟吒蚱咋	紮查閘眨炸喳札扎渣		紮雜咱偺砸匝	柔枰某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
柩	廄究舊救臼舅咎就疚	九揪韭啾赳鳩灸久酒糾玖	教溴袖鞘蹺酵窖效笑肖殼竅孝岫醮峭嘯較俏秀撬鏽轎誚校宿叫傚嗅臭覺繡翹	毬囂朽巧雀蹺修哮皎消嬌邱鵲簫蕉囚羞秋逍澆餃撬跤球狡篠鮫硝銷橇膠脩仇攪瞧宿蛟蕭宵橋教蚯梟樵憔悄姣裘驕僥削焦詨龜霄驍角愀泅交椒嘐求喬咻梂丘礁較勦敲曉郊腳繳譙鉸小酋鍬絞僑瀟矯剿鞦休鰍學翹嚼	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯
柯	軻窠科刻顆蚵苛瞌稞棵蝌磕	嗑課客恪溘坷渴剋髁可咳喀殼緙克刻	擱割胳哥歌戈疙鴿	郃各咯格骼個鎘蛤箇鉻革隔閣膈閤鬲葛	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柏柬枯柩
柄	丙秉鉼屏稟餅炳	病兵併並摒並冰		繽彬瀕殯豳儐濱臏檳鬢賓	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚查柢柯柏柬枯柩
柑	乾竿疳坩甘尷桿干肝	橄淦幹贛敢榦感稈桿趕	戡看勘刊堪	侃坎看檻瞰勘砍崁	柔枰柵某架柳柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
枴	拐	乖怪		筷劊檜會塊膾儈快	柔枰柵某架柳柑柒染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
柚	幼鼬誘宥右祐有侑莠又囿佑釉	游幽黝猶猷遊攸油悠由牖鈾有郵友疣莠酉尤優魷憂	樂要鑰耀藥拗曜鷂	要淆喲夭崤咬謠杳瑤僥窈堯搖邀洮吆舀榣腰餚姚麼遙餚窯妖爻	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柄查柢柯柏柬枯柩
查	察搽喳扎茶渣	岔紮閘柵喳搾扎砟詐剎插差咋詫乍搾眨炸叉札渣吒蚱	紮匝	搽雜咱擦偺砸	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄柢柯柏柬枯柩
枸	勾狗句苟鉤溝	雊構購夠媾搆鉤溝勾垢遘詬狗句苟	縞糕槁皋高考烤杲稿搞攪篙羔睪拷膏口	縞扣槁寇皋高考烤杲搞釦誥篙羔犒拷膏告糕銬稿靠佝攪叩睪口	柔枰柵某架柳柑柒枴染柱柝柿柞柙柚柄查柢柯柏柬枯柩
柏	荸搏帛蔔駁伯博檗脖勃白鈸膊泊舶鉑渤箔薄	玻撥亳般簸薜播檗菠蘗跛缽剝擘薄			柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柬枯柩
柞	作座鑿做祚坐	昨作左砟佐		棹擢濁卓濯琢鐲著酌拙涿灼斫捉桌茁啄	柔枰柵某架柳柑柒枴染柱柝柿枸柙柚柄查柢柯柏柬枯柩
柳	鉚	留劉泵琉瀏流瘤溜霤餾遛硫陸榴六	了暸鈕扭鳥紐忸瞭嬝裊	尿寮廖繚聊潦寥撩療料妞遼僚嘹燎拗牛瞭	柔枰柵某架柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
枰	屏瓶坪評憑萍平馮蘋	娉乒	頻瀕嬪貧顰	拼品姘聘牝	柔柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
柙	狎暇俠轄霞斜挾峽匣洽狹黠遐呷瑕	下暇蝦嚇夏廈瞎	浹莢戛頰夾挾	嘉架假夏鉀加葭稼傢甲迦駕價痂賈袈夾茄豭嫁佳胛家	柔枰柵某架柳柑柒枴染柱柝柿柞枸柚柄查柢柯柏柬枯柩
柢	砥牴底邸抵詆氐	滴鏑荻締迪帝的嘀狄蒂氐弟諦犒翟笛芽低地敵第娣遞棣滌嫡	體	悌屜啼剃隄提嚏剔題涕梯堤蹄踢緹替銻逖惕	柔枰柵某架柳柑柒枴染柱柝柿柞枸柙柚柄查柯柏柬枯柩
柝	唾拓	陀跎沱妥託馱脫橢鴕佗拖駝托	墮馱咄度剁踱跺惰舵	鐸奪躲多朵	柔枰柵某架柳柑柒枴染柱柿柞枸柙柚柄查柢柯柏柬枯柩
柒	悽淒妻欺戚棲溪萋七谿漆慼	歧琪齊琦耆棋騎妻祺豈綺棄磧祁乞啟祇期器祈訖枝迄起錡氣其淇愒旗麒臍畦鰭崎圻杞汽奇岐衹企稽亟泣契憩砌緝	畸姬畿其璣羈肌犄飢癘雞磯乩幾積唧箕幾奇譏激績期屐機嵇跡勣稽蹟基躋嘰居饑	洎棘疾暨忌祭集脊己騎藉芰劑幾記楫瘠覬紀計級極妓冀戢擊寄輯寂給薊及嫉際幾唧麂繼擠急伋薺吉季圾即稷髻霽技汲吃亟既悸躋籍繫岌濟鯽戟驥	柔枰柵某架柳柑枴染柱柝柿柞枸柙柚柄查柢柯柏柬枯柩
歪		外舀			
殃	泱鴦鞅央秧	鍚烊養佯瘍仰揚洋颺怏羊楊徉癢樣漾昜恙暘鞅氧煬陽	湮陰姻因慇茵氤音殷	夤癮聽胤銀印鄞飲齦尹淫簷寅垠吟縯蔭隱霪引蚓	殆
殆	迨大貸黛怠逮岱待玳帶代戴袋	逮待歹呆	泰汰態太	薹颱苔抬檯跆胎台臺	殃
段	斷鍛緞	端耑短		糰團湍	
毒	髑瀆櫝讀犢黷牘獨	杜蠹堵睹篤賭度鍍嘟渡肚都督妒	徒凸荼余塗酴屠突圖途	禿土兔吐菟	
毗	陂疲脾皮沘埤枇陴鈹罷紕琵啤鼙裨	劈披譬仳匹否媲丕霹痞僻壞辟鈹癖屁被紕批闢疋			
氟	縛匐夫蝠紼扶芾幅孚弗輻紱袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附膚俯鈇複府夫腑腐頫甫阜腹賻副傅復釜敷付撫斧孵赴婦莆趺輔咐父麩脯賦負駙伕訃	壺鬍蝴鵠胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈許惚唬乎戲呼戶忽滬楛沍護	
泉	蜷卷詮犬銓踡佺荃全權痊拳	圈甽犬勸畎券		倦卷雋捐捲鐫眷娟圈絹身涓鵑狷	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵洗洲洱
洋	烊鍚佯揚瘍颺羊楊徉昜暘陽煬	泱養仰鴦怏殃央秧癢樣漾恙氧鞅煬	垠夤吟銀鄞齦淫簷寅霪	癮聽胤印飲因尹茵音湮姻陰縯慇氤蔭殷隱引蚓	洮洌洎洪洫泵洩洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洲	粥舟周啁週州	胄帚軸妯縐冑紂宙晝咒肘皺籀	釗鄹遭朝昭鄒糟晁陬召著招嘲啁	皂澡肇驟炤蚤造棗著趙照灶鑿找燥棹噪罩藻沼爪奏詔晁召揍譟走兆早躁櫂	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洱
洪	訌泓弘黌閎宏紅虹鴻	薨烘哄鬨汞轟	餛琿混渾魂	葷輥混昏渾婚	洮洌洎洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
流	劉留泵琉遛瀏榴硫瘤	霤鉚柳餾陸六溜	遼寮嘹僚繚燎聊潦寥撩療牛	尿廖扭撩料妞燎了暸拗鈕鳥紐忸瞭嬝裊	洮洌洎洪洫泵洩洋洧津派洽洞活洹洛洸洶洵泉洗洲洱
津	襟觔浸斤金矜禁筋今巾	盡饉燼晉緊噤勁僅禁儘覲縉浸謹瑾進錦近	鎗青涇槍心粳馨芯精羌傾鑲漿廂韁訢莖興新親莘疆惺鄉星嗆經氫香頃搶昕清欣驚江鋅睛襄鏘薑腔蜻更兢鯖侵晶旌欽僵京湘鯨卿荊菁輕薪嶔瓖辛姜腥箱將猩相	邢竟牆頸靖信彊祥芯降秦靜情傾刑磬橡噙巷沁省陘琴獎醬芹醒餉興慶響幸競親形匠倖鄉講嗆撳象璟槳頃搶想項硎逕境景詳罄擎勁警薔擒行翔禽徑繈享檠型晴絳檣性井像痙勤淨嚮寢鏡庠蔣憬杏敬戕尋釁阱悻姓饗請將相向強	洮洌洎洪洫泵洩洋洧流派洽洞活洹洛洸洶洵泉洗洲洱
洌	冽烈獵裂列劣鬣捩	咧	涅鑷蘗囁齧鎳孽聶臬躡	捏	洮洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洱	邇餌耳爾	兒而貳二			洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲
洞	胴棟凍動恫	冬鼕董懂東咚	鈍燉褪囤噸痛頓盾沌遁盹慟	銅蹲桐僮惇豚潼屯筒墩臀統飩瞳同囤峒桶彤恫吞通躉童盹敦	洮洌洎洪洫泵洩洋洧流津派洽活洹洛洸洶洵泉洗洲洱
洗	鰓璽徙喜	攜烯嬉蓆膝惜溪細析係媳棲息蟋羲夕錫蹊歙褶昔曦淅悉熹禧系犀汐行翕蜥稀戲隙希吸習晰畦兮熙釐矽譆谿犧唏晞嘻西潟繫席奚熄襲僖檄	幾脊己擠幾濟戟給麂	洎棘璣羈暨疾忌肌祭集脊騎藉芰雞磯乩劑積幾記績期機屐瘠楫跡嵇覬紀蹟基計級極居妓冀畸戢姬畿其擊寄輯寂犄薊及飢嫉癘際幾唧箕繼急伋薺奇吉譏激季圾稷即髻霽汲技稽勣吃亟既悸躋籍繫岌嘰濟鯽驥饑	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洲洱
活		夥禍獲和壑火擭濩伙貨豁或霍惑穫			洮洌洎洪洫泵洩洋洧流津派洽洞洹洛洸洶洵泉洗洲洱
洽	狎暇俠轄霞斜柙挾峽恰匣狹黠遐呷瑕	下暇卡蝦嚇夏廈瞎	架假頰稼挾價駕浹賈莢戛夾嫁	嘉架鉀頰甲傢挾迦價賈莢袈夾嫁佳胛假夏加葭稼駕痂浹戛茄豭家	洮洌洎洪洫泵洩洋洧流津派洞活洹洛洸洶洵泉洗洲洱
派	湃	拍啪俳排牌徘			洮洌洎洪洫泵洩洋洧流津洽洞活洹洛洸洶洵泉洗洲洱
洶	兇兄匈胸凶	熊雄	燻鈞龜軍勛君薰均醺勳	汛潯巡炯窘雋徇郡峻濬迥潠浚馴詢璿駿巽蕈殉循俊迅訓遜訊尋荀洵旬竣菌	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洵泉洗洲洱
洛	烙珞駱酪咯絡雒犖落	騾羅螺籮蘿玀鑼儸囉裸邏鏍	諾懦糯	挪娜	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洸洶洵泉洗洲洱
泵	劉留琉遛瀏流榴硫瘤	霤鉚柳餾陸六溜	遼寮嘹僚繚燎聊潦寥撩療牛	尿廖扭撩料妞燎了暸拗鈕鳥紐忸瞭嬝裊	洮洌洎洪洫洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洹	桓還環澴鍰梡寰	渙幻歡換緩喚宦患奐豢皖煥瘓梡			洮洌洎洪洫泵洩洋洧流津派洽洞活洛洸洶洵泉洗洲洱
洧	葦尾娓猥諉偉痿緯鮪萎委	魏衛胃蔚維萎威未韋唯遺惟渭濰圍桅為崴味穌煨薇逶餵幃偽慰位危謂帷微巍偎褽尉喂闈畏違委			洮洌洎洪洫泵洩洋流津派洽洞活洹洛洸洶洵泉洗洲洱
洸	幌謊胱光晃恍	韹湟獷隍磺蝗皇徨荒凰篁晃逛肓廣簧璜黃慌遑煌惶	劻匡髡筐框混琨焜坤錕昆崑	輥礦鯀曠渾魂滾狂袞婚睏況琿框棍壙誑昏眶梱葷餛捆綑混困	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洶洵泉洗洲洱
洩	蟹邂榭屜解屑駭卸械瀉懈謝褻契燮楔洩紲	攜協歇寫邪斜些挾諧蠍偕鞋擷頡血脅勰	戒芥疥界藉誡解借介屆	捷階拮皆桔街截詰節傑桀揭孑頡接碣姊劫櫛解嗟羯訐竭睫偕擷結潔姐傑	洮洌洎洪洫泵洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洮	濤萄燾淆崤逃謠榣瑤啕僥餚桃姚陶遙餚檮窯淘堯搖爻	要濤韜喲夭耀咬杳窈鑰邀滔吆舀鷂腰樂討絛麼套掏藥拗妖曜饕	游猶猷遊油由鈾郵疣頭尤魷投	刀斗黝島牖豆莠頭搗竇優幼陡幽枓透讀攸鬥脰誘宥祐有到倒蹈囿佑逗蚪友偷又都盜禱憂鼬痘稻悠右柚兜悼侑導叨酉抖釉道	洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洵	潯巡馴徇尋詢璿循荀旬	燻汛殉徇薰醺迅訓潠遜馴訊勛巽勳蕈	熊雄	雋窘炯郡峻濬迥俊凶鈞龜浚兇軍兄君均洶駿匈蕈胸菌竣	洮洌洎洪洫泵洩洋洧流津派洽洞活洹洛洸洶泉洗洲洱
洎	暨寄忌祭薊騎芰際劑繼薺記季稷髻霽技紀覬既悸計躋繫濟妓鯽驥冀	棘璣羈疾肌集脊己藉雞磯乩積幾績期屐機楫瘠嵇跡蹟基級極居戢畸姬畿其擊輯寂給犄飢及嫉癘幾唧箕麂擠急伋奇吉譏激圾即汲勣稽吃亟躋籍岌嘰濟戟饑	愒系汐翕戲隙妻細磧棄汽係器矽企訖亟迄泣潟契夕繫憩砌緝歙氣	攜歧琪烯齊嬉蓆琦耆膝棋騎妻惜璽祺洗溪豈綺祁析乞啟祇期媳祈棲枝漆慼息蟋羲起錫蹊錡褶昔曦淅熹其悉淇旗禧犀萋麒行蜥淒稀希吸習欺臍徙畦晰鰭兮崎鰓圻杞熙奇岐柒衹釐喜譆谿稽犧唏嘻悽晞西席熄奚戚七襲檄僖	洮洌洪洫泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
洫	敘恤畜絮酗婿蓄卹頊緒勗續旭序	墟胥吁戌許須徐訏鬚煦需虛咻栩噓	炬苣颶懼具巨踞瞿鉅倨劇遽屨距俱聚據句鋸足拒	莒咀舉桔疽橘蛆跼車駒俱拘狙侷掬菊局鋸沮鞠居齟矩	洮洌洎洪泵洩洋洧流津派洽洞活洹洛洸洶洵泉洗洲洱
炫	鉉眩漩絢旋渲	懸漩還煖暄軒宣晅諼萱喧壎選璿旋縣玄	倦雋絹圈卷狷眷	圈捲身捲捐鵑涓鐫娟	炬炭炮炯炸為炤炳
