一,二仄三左旦丁刁下上於兀士幹不天王且丘本甘石百
杷,耙肥把吧巴芭疤邑笆杳爬根靶梔爸棍查札浥色琶
枇,毗沘批妣仳紕昆庇屁比能楷砌牝叱化棍皂尼它
枝,肢技岐妓吱支芰梂歧枯杖豉鼓末棲楮求林沫抹取植楠茉
林,森淋痳材村棟琳楝彬梱木棵婪焚孱霖杜沐樸休札李
杯,枰壞不芣示枉桿否痞秤本槓柯柄朽棕平丕宗奈甭盃禁
傑,焚杪秋梢木秒炎火揪愀啾鍬杳炙杏疢灰愁森林杯稍檔
板,格返扳鈑皈叛阪販咚洛恪咯烙胳略逢鉻客疼版舨飯降珞峰烽路鋒皮反
枉,玨旺汪栓框王匡全狂杯玥桿琳弄皇閏班斑本玟玫柯枰柄槓杜玷珊珀玖
松,忪錢公蚣棧淞崧訟賤粉械鍍淺鉛林梯鈸鋪木森鬆
析,新昕近沂折圻聽所斫祈斬斯淅晰芹匠斧訢掀斤
杵,午枚椎許什榫榷榣缶林估仗栓樵來枝枓杜杖桿枯樸札梅榆槍漆膝檢檜
枚,敉敘畋教敕敦矢矣疾牧玫故改收敝敖啟敞敢散敬敵數
枓,科料斜抖樸斗魁柱蚪梓斛棹斟蝌枋柿校林核楨杭梳斡樟椒
杼,抒妤序野舒予澦栘預豫桶移夥橘多侈墅歿矛爹懋
杪,炒沙抄妙吵鈔眇砂傑紗梢秒少省劣莎林炸秋渺焚
杲,桌曰日晰昌閑木采床宋呆旦森晶林昧杳昊昇杗柔某柒旱昱冒釆栽朵梁
欣,掀斤析昕近沂折圻聽芹匠炊所斫玖砍祈坎吹次斬欽斯歌歎浙淅逝晰斧
武,芷企賦扯址祉啃歷止趾肯歧歲正鵡症步焉怔遣瀝壢
歧,止肯歲扯址芷企枝肢技岐祉妓吱豉啃武趾鼓芰
歿,歹殃殉死列殊殆殘殖殤殮殯殲例洌咧予夙屍多
氓,泯抿岷眠湣民亡忘妄杗肓盲忙芒虻娛茫荒絮愍嬴
氛,芬份氨氮汾扮吩氣氧氤氖粉氫氟氦分紛忿岔寡氯氬氳
泣,涪漳潼拉垃位立昱笠粒注沾汶汴濟倍接培焙暗妾音菩
注,拄柱住主泣沾往汴汶蛀濟註駐滴淑涉滷沆流涼涪滾漓潼
泳,詠漾永樣浪浦治淺渡涵濂泠泛浚涔樑丞河法沸沁沐汰汨沖汝汐汛汕汎
沱,佗陀蛇跎舵駝鴕沘它能汁枇毗批妣仳昆庇屁怩妮呢濱瀉瀋比紕匕
泌,鉍沁必祕秘洩洵沌池密泡洶勿瑟蜜怕愧謐柒泥泊沐汨沙沃沖吻汝汕汁
泥,洱氾涊沁沼急怎泌洩沐沌汨沖洵汝池汕淦汁浸旎渥濫水范
河,坷呵柯何阿奇苛蚵軻汀訶可倚崎椅畸錡寄荷犄琦婀啊
沽,湖姑咕枯估鈷汁涸古居固苦活牯沬沛胡蛄骷葫
沾,拈佔黏占店帖玷砧站涼注泣汴汶乩貼濟點淳濠霑
沼,招炤昭迢紹貂超韶詔召汾叨初刀分浩解賴切忿券岔
波,披坡被鈹疲彼陂玻破跛皴詖皺菠皮皰板頗婆汲洛格簸
沫,抹沐末茉秣決淋汁波枝枯杖渣漆淞湘沽沬沁沛汨沖洱汝汗汙汕汛池淦
法,溘怯琺去砝嗑蓋劫瞌磕丟玉盍闔濤豔注沁汪汰汨沐沖浬汝汕汐淮淦汁
泓,汐弘漲湧瀰汛汍汎沒夕淺洌溺澦舛涵外泠渙殘漁歹凡丸名
沸,拂怫佛彿紼弗氟沖費事油津淵剌涮喇串鬥泱洩沈洌測
洩,沁世泌洵沌池紲喋葉碟泡洶牒蝶諜惜柒泣泥洋洪沐沖汨汝汕淦汁淘水
油,抽岫妯洩柚迪袖鈾沖由宙笛津軸釉胄冑鼬沸泱沈淵娉淹聘曳申婁
況,祝兗兄侃競克兌悅脫銳澠沉嗅泯洗稅浥涓溴剋閱
沮,姐咀且宜疽狙阻俎砠祖租粗洞組蛆湲詛滇齟鋤勗
泗,泅涸渭四浬淦漯鈿沿溫澴水捆梱錮油沁沐沖汨洪佃汝汕汁汾浴淄潘澤
泅,泗涸渭囚溫浬畋漯佃澴水界捆個梱油沁沐汨沖汝汕淮淦汁鈿泠汽洽海
泱,怏映秧英殃鞅央沈盎沖瑛鴦油津滿巾沸洩淵渙滯澳
沿,鉛浴淦汾釦治船沼洛浩涪渦涓浥溶銘鉻澡鍋涕鋁泗水品谷
治,淺抬怡始胎迨冶渡苔笞台殆貽跆滲沿浚飴颱或怠
泡,抱咆炮胞袍鉋砲庖苞跑鮑皰飽包匏雹劬刨沁沌
泛,眨砭貶乏之芝泠洛涔淚溴澄漱泜浩添湟漾潑潘潟澳泳泊沃汎飲久羨麼
泊,湟拍怕柏伯迫鉑箔白帕珀粕腺泉沃舶源棉惶煌嗥遑線錦葩篁
沬,妹味昧汁未魅沽沛宋沐淒渚朱滇演沱潸瀋湖潮守
泯,湣抿岷氓眠民況澠涓愍沁汝泜浥澡呶泌河沽泥沾洩泡活派洶洩洵沐沌
泜,抵柢胝低牴砥祗底詆氐婚衹祇紙舐氏昏邸添湣湟
泖,柳鉚聊茆卯卿溜留榴遛瘤迎抑仰御劉貿籀唧啣腳孵餾昂節霤
泠,伶拎鈴玲冷羚聆蛉苓齡零滄令吟鈐侈汽海涔渝昤岑
炕,杭沆抗坑吭伉阬骯航亢炫返幾般逢縫處蓬篷烙烽肌朵冗
炎,痰淡啖炒氮火毯燄熒談炙傑疢灰尖少燃燻灸羔魚焚焦無然黑塋榮灶伙
炒,紗杪沙抄妙吵鈔炎眇砂少炸淡啖痰燻省劣莎熄燠渺緲
炊,燈坎吹款欽久疚玖砍次畝歌灸欣欲軟歉歎欺飲歇歐歜歟歡揆欠葵
炙,胖熒月胱滕炎然籐籐火傑采疢妥灰朋勝膛爭灸孚羔舀魚焚焦無冗黑受
爬,抓杷肥把吧靶笆耙芭疤邑爪巴爸梔扈琶葩履艱浥復
爭,箏淨掙崢錚猙睜靜諍采凸脹炙孚妥月服朋舀渠冗菔受肘肚肋
爸,疤父芭邑笆巴杷肥把吧斧釜琶耙爺爹爬靶浥葩邕扈色交梔
版,牌片阪牖牒牘板返扳鈑降皈叛隆舨販飯咚洛恪咯烙珞格胳略逢蜂路鉻
牧,牛枚牡畋啟玫放牠牲牯故改牝收敉敝敖敕敞敢散敬敵數矢失矣疾
物,吻易囫牠惚勿牲忽牡牝惕錫刎牛牧牯拜牴特蜴賜踢匆看
狀,戕妝壯將猷牆畎吠伏莊寢默獻鏘寐蔣獸蟲犬戾突臭哭莽獎
狎,獨狸猓猥押呷狄柙胛鉀玀狗狙狂狠犯猶甲匣狐狡狼狹狽狷猖曼閘賣
狙,狽猙猾疽沮姐咀狄狂租狎狗阻狠俎狸砠祖猓犯粗猶狷且宜
狗,拘狄枸佝鉤狎狙狂狠狸猓犯狷苟狐狡狼狹狽夠猶駒猖猿獰
狐,弧呱孤瓠瓢瓤瓜瓣狠菰狙狗狎狄狂狼狹狸犯猓
玩,玨頊冠寇琢班斑玥琪梡王莞玟玫玷珊珀玖珠現理琅球頑瑣瑰瑭瑾璞琉
玨,班斑玩琢頊王玥枉旺汪理玟玫玖玷珊珀狂琪瑰瑾珪弄匡全
玟,斑玷玨琉璃王玫玥汶抆琥璋璨瓖班玖珊玻珀蚊理琢瑰璿瑕瓏文弄
玫,致玨玳斑王玟玥枚玖畋敖敢珍玲瑜班牧玻珀玷珊政故改攻孜收敉理敝
玥,珊琛玨琿瑤璦王現再弄玟玫玷珀玖理瑰班斑瑚
甽,圳釧川順串遝澴還甲界罟罪寰彿環懷壞襪訓馴眾患買介罩夢罹
疝,尢疣尤大疤爻山疢灰有左疚餚岳奄奎疾疳疽痕痍布汕札仙扎兒
疙,迄屹吃乞紇訖痊瘉癒乙疹瘡挖奮疾瘓奪疥夜癡函侯你仔猴
疚,久炊坎吹欽灸痍玖砍畝次歌欠葵夷九欣欲軟揆歉歎
的,白灼杓妁釣魄豹泉芍昀皈約酌皎帛皂皇皋泊拍怕柏迫伯鉑皖皓皚
盂,孟柵於盃盅扁益盍盔盟監盪皿冊姍珊錳盈盎盛盜盥猛蜢
盲,肓亡苜杗忘冒妄省眉看眷督目相瞥算芒望瞽荒篡纂氓胤忙渺緲懼
直,矗值植殖置宜具真且俱脤滇慎填二鎮肺沮芾姐咀沛冠疽瞋誼闐
知,矢佑癡矩仃雉蜘踟枚畋短矣疾智唉矮矯右吝吞君
矽,砍歌磊石多砝汐侈栘移碗夥磴爹砂研砧砠砟破硝碌碓磯磷夕泵
社,禧禱灶祀祁祆祕祐祖祚祥結祉祈祇祠神祝視祺祿禎福禍繞續
祀,祝社祐圯禪祁祆祕祠祖祚祥視禎巳祉祈祇神起祺祿福禍禧禳巷
祁,社郎祀邱祉祈祆耶邦那郁邢祕祐祖神祚祥祿鄘鄭鄴弔
秉,束乘禾禿利俐秧莉梨痢簌秈委和私秋香悚琍犁速番籟
秈,禾和私秋札委禿香番科秣租秘稍稚稞秧秩秤稅秒嵇利季黍
空,窒穹穿倥控崆腔硿簾突究窄窠穴窗窕窪窖窘窟窩窯邃
穹,空究簾突窄窠挖窒窮穿穴窗窪窿窘窖窟窩窯窈窕麻痲竊竄竇朮倥控崆
竺,三二仁些芸岸宗奈言完鹹禦竿竽示元雲祟誇票祭禁嚴威沅佞
糾,絲縲細綠繡糸紅紀紂約紆紋純紐納紙紗絆紼絀紳組紲絢維緙絃綏緇
罔,惘魍網輞芒荒岡亡皿冊肓胼朕慌蓄杗忘茫忙妄腆膜臃膿
羌,兒美姜羔恙允禿苒亮善對赤坤兕圳充義羨漾窯樣儀羲糕膳鎂羹曦
羋,羊差佯洋庠咩烊羞祥搓嵯嗟鮮芙羚羯羶徉氧翔群達磋癬
者,煮都渚屠奢堵著楮暑箸褚署睹諸緒嘟賭薯曙儲藷
肺,脖沛芾脯肢朋悖荸朝嗦嚏甫孛腔膊宜軍索囊肝肚浦捕埔哺補鋪腕臏潮
肥,杷把吧巴芭疤邑笆耙爬靶爸浥色琶朋梔冥扈葩
肢,枝技岐妓吱支芰肺歧豉鼓求朋取腔軍肝肚梂脖腕臏月受屐娶最
肱,汰太宏肋胰閎雄叉篡朋央奐然奧肚肘胭朕釵醃月筋
股,投骰段役般殷殼毀殿穀芟疫設殺毆毅肌冗沒胳
肫,盹沌胸鈍芻屯囤縐趨胞純飩噸愛朋匈肥肚洶頓月
肩,扁乍戶怎房戾雇篇偏遍褊笮咋炸柞昨妒作盛膂扈所匾編蝙
餚,宥爻崤有侑洧囿疽痍希淆賄鮪學郁痂鱟餚疝疢疾灰布左覺瘸療黌大唏
肪,旁枋妨坊仿防膀芳房彷舫紡訪傍滂榜鎊倣淤遊方菸瘀遊
肯,止啃歧歲芷企扯址武祉趾遺步正遣青背症貴歷焉怔逃涉將賦
臥,臨臣宦臧藏贓堅腎臟鑒緊豎賢鹽叩卯除褕附仰袱爪滌褓篠
臾,庾腴萸臼諛舀身舂啗焰裒滔潟兒叟與躬陷舅鼠八稻樁寫閻舊
捨,捨估合幹余全古干個舒拿丘佺何倨做仁儉居苦竿旱命侖俞盒答會沽
芳,菸房旁肪枋妨坊仿防瘀遊方彷紡倣淤游簇舫訪漩嗾鏃
芝,乏之泛砭眨貶茂茨久茅莆欠薦苔莽葵飲疚灸苓孳蔗藺炊坎吹次欽歜
芙,夫扶伕鈇替羋羊趺失麩攆庠差輦窺菁佯洋咩烊羚推
芭,邑疤笆昔巴肥杷把吧爸草葩耙靶琶萌莫爬厝色浥借措惜錯
芽,呀穿蚜牙訝琊邪雅鴉芋辱芣萇莖撐褥苛華葬才耨
芟,疫股投段役般殷殼毀殿骰穀設殺毆毅沒葭凱菱冗亢槃慇磬臀聲擊鑿發
芹,斧近析昕沂折圻聽匠斯所祈斫斬新斤掀薪訢廝欣浙逝淅晰撕嘶
花,仳靴化昆庇屁訛荏枇沘毗批妣佗能葆匕紕比屍荷疵蓓茶沱怩妮呢匙跎
芬,氛汾扮吩份棻粉剪分紛忿岔盆寡貧刀拐枴召初砌盼叨
芥,疥界尬介串佛茶仲患花荏葆荃荼夢蕉蕪芝芙芹芯芷昔苗英艾莢萋萊萸
芯,芍苟荀蕊苞菊萄葉廿恙恭葡蔔心昔忠苗志思艾遂
芸,雲耘雲紜莖黃三壽薑二竺蕨冽藝蔭其甚仁戡魂
芣,示不杯壞芋否痞甘苛盃甭華萍蒜宗奈平丕芽某疳芸炭祟票祭黃葬禁蔡
芰,豉鼓支肢枝技岐妓吱芾苦卅歧莘萋華著蕞求瞽葫苧蕙幸辛畢取
芾,荸肺沛莆芰苦葡葫卅悖脖孛莘萋華著蒲甫嗦嚏灞
芷,企武扯址祉啃止趾肯歷歧歲步正遣芒症薺蔬焉怔逃涉賦
虎,唬琥號遞褫虐虔虛處虜膚慮彪媳熄息密虞盧溴嗅臢鑽
虱,強蟲閩蜜蚓蚤蛋禦戕虻虺風蚊蚪蚌蚣蛀蚶蛄蛆蚱蚯蛙蛔蛐
初,叨賴刀分切沼招迢炤昭忿券岔召貂解盆拐汾枴扮吩份紹詔超絕韶瀨懶
表,婊錶素青畏嗉長生拓差打佞辱害倩清情偎菁晴喂煨
軋,轟軏車軌軒軟軸輒軔軻軼較輊輔輓輥軛輛軾輻輯輾
迎,抑仰昂泖柳唧啣鉚衣衷節卿聊御腳鯽依姬茆褒
返,逢板扳鈑阪皈叛咚疼舨販洛恪咯胳烙格略鉻客處
近,析昕沂折圻聽所祈斫斬斯新芹匠訢逝斧掀斤欣逅浙淅晰
邵,郡郃部鄙鄗那耶郢郾鄱啊邱邸祁邪邦邢郊郎郁郭都郵鄘鄭鄴召
邸,邱郵邢鄞氐邵祁邦那郎郁郃耶郢郾鄭鄱鄴邪郊郡郝部郭都鄂鄒鄗鄙鄘
邱,邸郃郵鄞丘卸邢鄧祁邦那邪郎郁耶鄭鄴弔岳氟乓乒
邶,北枇沘毗批妣仳此兆比紕琊雌螂能昆庇屁陀佻砌洮挑姚逃桃挪娜哪梆
采,菜肘採膝榮月睬爭孚木炙杲床宋妥呆棗槳森林朋棘綵踩
金,針釙釦公鈿四匹穴淦共只父六小丫鉛谷釘釗釣鈔鈕鈉鈍鈇欽分鈷鉗鉀
長,倀悵張萇脹帳漲賬刁畏叼表匡司虐佞伺辱彗偎喂煨
門,閂閃問閑間閒悶們閉捫閔閏開閎閘閨閥聞閩閤僩閭澗嫻閻燜闌闆簡關
阜,埠帥啟師呂宮召薛味咕吱戎莒篩烏計侶追喧獅鋁嚀
陀,沱佗院蛇跎舵駝鴕它能陣枇沘毗批妣仳昆庇屁
阿,婀啊河坷呵柯何蚵奇苛陌軻訶可阮隔阻阪陘陋倚崎椅畸錡弔荷寄
阻,隱弔沮姐咀陌際癮阿狙阱限俎阡租祖砠陳蛆粗隅陲且宜疽
附,咐除府符駙付險陰侍傳弔陬滌榭隧陡陝陳傅褥奪
陂,被彼波披坡玻破鈹跛皴疲詖皺阪皮陳降菠皰陵
隹,售集焦隻淮推惟崔堆唯仕進椎錐雙坐雀准帷雄雇雋雉雊稚碓睢匯催榫
雨,雪雯霄霖霍霽雩雲零霆震霉霎霑霓霜霞霪霰霏霹靈
青,責菁倩清情晴猜靖睛精蜻鯖毒素債漬嘖請靜積磧擂
非,匪俳排啡腓屝菲痱扉徘罪誹霏靡悲斐裴靠輩兆北
亟,極丞二三沅汪涯冰汗汙汀左旦竺拯污仁閂差空汞式些一洹河涇江溼錄
亭,高豪亳膏毫停婷京享亨亮俞烹寧嚎嵩蒿篙逞搞槁壕濠鎬
亮,京亭享高亨毫豪亳烹膏充逞襄禿占乩兒常哀兕吊圖允嘯選
信,這唁警誓譽譬訃言諒偯停諄誶讓計訕謎訖伉詮僕訛
侵,浸伺候假倀夜寢殷股投沒殿叼健段般婦役掃設殼毀骰毅毆穀暇煆瑕遐
侯,喉堠篌跪猴桅脆詭儔溺篛儼你仔天危乞佺侈佑佈傑弱伋仍健佩孑夜疙
便,哽埂梗硬粳更鞭甦倆佰偭伸儈何伍佺俺倫佐偷仁僵價儉由命氤余全合
俠,峽挾浹狹陝莢夾愜頰侑雉仇佺佑儉矢傘俟侮倫伶佈偷從傖傷儈伽攸
俑,湧桶通痛蛹誦甬恿侈傭傑麥你備仔伶令伋舛像仍麩健用夕舞乞
俏,趙儻倘哨峭悄捎消梢逍銷償伙儅肖宵屑硝稍伴鞘尚
保,侃呆褓葆噪谷堡棠俗傑澡橾燥休吋佑喳僎操躁促侶咻褒
促,捉齪足蹙趴趺距跚跟踝躋跆踐踏踩趾跋跑跌跤跦跼踫踞蹕蹼跎跺踱蹂
侶,鋁宮莒閭呂侃櫚營促嗚保俗儼阜谷俄侷帥依侏俾倨倘咋佃何佔作伯估
俘,浮脖悖孚仔荸孛子悸厚享學佾偷酵好游李囝字孳遊
俟,唉埃挨俯矣攸族伐倣做傚傲俊嫉敏矢廠伏撤澈蜘今
俊,唆峻浚梭竣酸駿痠俟傻鈑俯凌偺伉鉻鋒販伋伐反念含菱令今
俗,峪浴裕容豁谿谷份鎔保溶榕熔卻欲蓉侃僧僕腳慾
侮,悔海晦梅莓誨每霉伶傖儈母佺倫偷儉姆拇傷毒
俐,琍蜊莉痢倭利倒例側梨喇禿捌啾愀揪鍬秧悸矮秉犁簌
俄,哦娥峨蛾餓義件儀我佚傀鵝作伯任仟蟻牛係侏俾找議入
係,孫縣鯀遜系蓀仰糸細傀低潔似累懸俄紂紀約紆依紗紋純紐納糾作伯絆
俚,哩埋娌浬裡鋰佃裡狸理鯉僮嘿童黑貍黛仕喱量墨
俎,齟咀姐沮狙砠祖租阻粗且宜疽組蛆詛俱鋤勗助內卒
俞,侖愈偷瘉喻愉渝榆逾褕合癒瑜亭拿盒會寧倫仁
侷,跼局倨伊距巨倀仞伺伽僻叵炬拒矩鉅倔偃苣促侶倘何估佔佃作佝仿伙
兗,袞況祝兄兌六悅脫銳競閱克侃稅蛻說嗅鋁冥剋滾
冒,眉苜目相帽瑁省看盲眷明督算瞥瞽篡渺懼瞿廂萌箱纂貝自盹眇盯眼媚
冑,胄由胃宙笛婁柚迪妯岫抽油袖鈾曳申喟渭賈軸裡釉裸
冠,寇玩府符莞峙梡肘膊廚蔚元痔等恃持侍咐時院將皖詩褥
剎,釗則刈劃刖剃削剌刺制判利刪別刑剩刊劉劑剋刷刻到刮剁剖剜剔剛剝
剃,弟娣悌涕梯銻刎剎剌剔制釗利剩削則刺刮剁刷刪判列劃刖刑刊刈劃劑
削,刖刺制刷肖釗刪判劃刈剎剌則剛利剩刑刊劑尚
前,荊莉薊煎剪箭湔涮廁菔籐鬥刖痢菜側硎惻測掣蒙削俐咧洌刺制冽例倒
剌,喇束刺釗利劃刖刈剎剃削刷制剁判刪剩刑刊劃川劑
剋,兢克刨剜剛刮制利剩刊削剌則剎刺剁剖釗判刪別副刑劃刎刖割刈劑
則,貝釗側惻測廁剎財敗販貼賄貯貽賊賤賬賭賺貶賂賠贈贖
勇,湧奐肋踴男另筋脅瘓觔喚換渙煥努劣勢勞力助叻勵
勉,免兔娩挽晚逸冤冕菟劬輓脅觔劫助肋叻幼勇劣
勃,渤孛助肋脅觔劫勒勦叻幼協悖脖勇荸勉劾劻劬勘動勛功勤勣勳勵迦咖
勁,頸陘助功勦脅勘肋勤叻幼涇逕莖痙觔劻劾勒劫劬勣勵徑經輕氫男另
匍,圃哺埔捕浦脯莆補鋪甫博傅搏溥膊輔誧葡蒲縛賻
南,喃楠冊皿卅柵盅姍肺芾沛灞幸甫畢辛血岡扁珊盃苦侖孟宜宰朕益盍盂
卻,腳欲叩卸溶榕熔鎔蓉卹即印卯俗峪浴裕命容谷
厚,享子荸孳遊閑俘浮孽孚李閉字悖悸脖囝好弼游仔嫻
叛,扳板返鈑皈阪烙販咯恪洛咚格胳烽略逢鉻客疼
咬,姣校鉸狡皎詨跤絞蛟較鮫餃傚交郊效嘀六父咳嗚唷吭
哀,遠園逞猿袁袞轅衷褒京襄衣占呱迎卞亭亮享亳高亨毫稟豪砥舐偯
咨,姿恣資瓷諮次茨懿咎嵌久丁保吹冶蚵叮哉疚否問售灸名台欠谷登可之
哎,艾嘩嚥噶諾囌哄咩豆偌喫喚嗟嘈噢囈若嘉嘻謨朕送嘆噗茄匿
哉,栽惠台專截名裁載怠或戴苔笞蕙胎迨始怡抬治鐵
鹹,威喊減戊合箴戌滅竺戚同後茂崴垢逅緘鹹害拿豈言豆富痘髻石槭
咦,姨胰仇夷九痍軌旭叻究哮另咖友丸疚咽吹吠吐汍叮鳩唏啜嘹為口品染
咳,垓核該孩賅骸駭氦閡劾刻亥叭雍咬趴喙嗚嘀吭唬擁嚎臃嚷亡壅
哇,娃掛佳桂畦吐奎卦蛙鞋鮭掛褂堯閨圭封捱涯崖
哂,曬迺湮煙西酉酒吁叮酊呵呸哽配酌酗酣酥鈿醜喱酩酷醋醫
咽,嗯姻胭茵哩呷恩哽喟氤因嗶喂嘿囿男咦吠吐叻噹囪更口品當
咪,迷米屎呼磷哨吵粥粱啖氣籽敉料粒粗粕掬憐燐璘遴乎京粟糜
品,噪區嘔咯唔咖譟癌澡燥嚷闆奩口嫗嶇樞操橾躁
哄,嘶拱洪供烘噗共異巽譜咩港恭基寒寨搴暴鬨
哈,恰拾洽給蛤答磊閤喻儉撿檢臉鑰喊合吟吃嗆險磴瞼石簽籥
咯,恪洛咚格烙胳略鉻詻路珞絡賂骼客貉酪駱閣各
咫,尺只呎保家谷促侶敖俗峪侃浴吩傢嫁裕僎稼褓興容堡雇葆肇熬聱贅鼇
咱,洎鎳自臬噢癟嘎邊首省眉算咋吒叭道媚湄楣目戛憩篡
咻,咐咿休茶喉吶唯哈吟吃榦付唸喻嗆噙呆附啣滌保儉檢府符
咩,嗟群洋佯烊詳磋羋羊庠祥鮮哄徉嵯搓差哎蹉氧羼
咧,洌例列喇夙冽殃歹屍叮殆斃倒捌硎蜊歿殉死殘
咿,伊咻咐喉尹君哈吟吃裙啣啄吶唯唸喻嗆噙窘咖伺儉
囿,因宥洧侑餚鮪男有賄郁崤咽姻胃恩疽胭茵困回囚四田淆畸髓
垂,郵唾捶箠錘陲睡綞甘千卉某柑坩疳甜仟鉗箝卑朱舌奔芣芋媒虛阡煤
型,荊刑硎刪鬥剴堅堊基圭墅前莉丑妍邢烈薦羞開塑塗塹鬧蕭鬨壓痢薊厝
垠,恨根退銀堰艮痕狠限眼很跟艱齦坦腿褪偃良宴書
垣,晅桓宣坦圬喳渣洹旦喧渲暄壇萱堤場疆壞圩百奭
垢,逅詬後坼圻塊減喊石鹹箴埤塢埠坷拓緘壎塔墦泵巖壹筒答司碧磊
城,誠成盛坊蚱乍戊戶埔塘去昨柞炸咋祚妒作埃域蝙怎茂肩笮
垮,胯誇跨愕鍔萼圬誇雩捺污匏瓠堪巧佞琦虧朽奈
垓,咳核孩賅骸該駭氦閡劾刻亥雍垃坊壅址坑擁壕臃壤亡
奕,弈亦帟跡赤鬥小赦奐爻鬨痢交父郝鈽刈赭錡症奠尖艾鬧螫前荊莉詹市
契,喫楔鍥夭齧奏忝笑吞爻拍妖扳沃托扒尖艾奧奐美哲劣大叛括祆拆啪折
奏,揍湊秦舂輳春奉泰笑夭妖沃榛樁矯祆添忝吞僑舔嬌橋臻
奎,娃哇掛佳桂畦閨堯卦掛褂圭痣蛙鞋鮭崖封捱涯
奐,勇瘓喚換渙煥湧奧解踴角然閒爻央胰肱肋尖艾厭負觔醃噢懊懈澳燠邂
姜,美恙羔義羲善對羨羹苒窯糕膳妾妥安姦羌漾儀樣鎂繕曦犧鱔
姘,媾拼併胼迸鉼並井屏耕阱餅駢搆溝構遘嫌摒購併
姿,咨恣瓷資次茨諮懿嵌久丁疚灸欠氨之砍準欣炊釘坎吹玖蚵冰欽叮打汀
姣,咬校鉸狡皎絞蛟跤較鮫詨餃傚交郊效嫡六父妨
姨,咦胰仇夷九痍軌旭究友丸嫉弩疚姻妞妖好如汍奴鳩為女姦染
娃,哇掛佳桂畦奎嬈卦蛙鞋鮭掛褂堯閨圭封捱涯崖
姥,佬老耄耋妹姑妓丈杖仗姣姨姻妖婢她如奸妁奴婉嫁嬪嬸者女姦宥怒忝
姪,絰室屋蛭輊窒倒至耋緻致喔握渥到臻妍奸蛙齷
姚,挑洮佻桃逃眺跳晁窕兆北妝俳邶啡排腓戕壯覜頫遣潰遺匱簣
姦,妄災姒巡巢女淄錙茹妥安邕莖痙涇逕如汝姜妾妻委婪宴晏案姘姨娃姻
威,鹹戊崴喊戌減滅戚茂竺箴槭簪戍成衰佞歲緘表長後斥斤姦城畏竿竽底
姻,咽胭茵娌嗯恩氤因姆囿男姨妯妖如奴媼媲嫘囪更女姦
孩,垓咳核閡該賅駭骸氦孜孔孑孤孫劾刻孺吼亥菰
宣,垣晅桓萱喧渲暄宗完富旦洹喳渣量賓三宇宿奭百士
宦,臧臣臥藏臨贓堅腎鑒臟緊賢鹽豎宙叩卯官家宋寅寓安卉穴屢茆昂節聶
室,屋窒輊耋姪至倒絰蛭致到喔握渥緻臻宇定家寅士蛙齷
客,咯閣恪洛格烙胳略鉻珞絡賂路骼各詻貉酪駱疼咚板返扳逢鈑
宥,餚囿洧侑宏有丈賄鮪郁崤疽者老協杖仗宜宵宋安卉穴寄寮十淆髓
封,對寺卦村肘吋忖付峙恃持時侍痔等射尉特寸守奪
屎,米咪迷粱屑氣粥粟慰熨糜尉麋蔚乎籽敉料掬粒粗粕憐燐璘遴磷
屏,摒並井姘拼併胼迸鉼展耕阱媾搆溝構遘駢並餅購
屍,斃死屁庇夙昆歹咧洌例毗妮呢怩枇紕能妣批沘仳
屋,室窒姪喔握渥耋至倒絰蛭輊致到緻齷匡臻套刁蛙司肆
峙,恃持時侍特待痔等詩寺奪封對寸狩將博傅搏傳溥膊撙樽磚耨褥遵咐塒
峒,胴恫洞桐銅筒磊巖硼同石崩壹喊碉恰哈拾洽脰言答
巷,共恭基僎撰潠選益巽巳圯祀異拱哄洪烘供起斯港
帝,啻蒂啼締諦蹄吊布帟簾帛幣巾匝帑旁帥敵離獻
帥,吊師啟巾帛阜常布匝帝簾篩獅帟帑啻幣帖帕帷怖埠佈啼棉鈽嫦滿錦蹣
帟,亦弈奕簾跡帝帛帑吊布幣啻帥匝巾鈽鬧席希蒂赤帖帕怖帷佈啼滿錦
幽,茲滋慈紮孳磁朗幾吆玄以幻樂畿纂糸炫郎弦始姒奚晉畜眩參淺似絃棧
庠,戒弁羋羊咩洋烊佯祥差氧嵯搓嗟鮮度庶羼徉群磋
度,庶戒弁席廣渡鍍庠拚械踱蔗廉范茫莎藻盞蓆萍蒞蒲蕩藩戈摭遮
建,健腱鍵毽肄又津肇廷聿筆律延肆奴帑桑怪沒候夜隻雙
弈,奕亦帟跡赤鬥小錯錨鬨前荊莉箭郝赦湔芷薦戒弁卉鬧痢薊煎詹弗市止
弭,聞洱耳茸聶恥取耿陬餌懾攝囁鑷椰聲耶張揖楫躡輒趣爺聱聳聾
彥,彤衫杉形彩彪彫彭彰影諺產顏箄鏟彬頻疹髦剷榭射珍趁穆麝鬚
很,徇徊律徉往得限彿徒徠徜彷征彼徙循待徐從徨行徵
待,恃持峙時特侍得徒等徐往痔後從徨行詩很徊徇徉律徠街徵
徊,很律徇徉往徜彿徒徠彷彼征徙循待徐從行徵役得徨德衍御微銜衡黴
律,徉彿很徊徇往征徒彷徙徠徜徘彼循待徐從行御徵
徇,很徊律徉往彿徒徠徜彷征彼徙循待徐得從徨行徵
後,役復彼待行綾徑徐凌得從陵徨徬傻稜稷很彿彷徵
徉,律很徊徇往彿徒徠徜彷彼征徙循待徐從行徵得役徨衍御微銜
