# 笔划字典，万：笔划是横(h),折(z),撇(p),组合起来是hzp
一	h
暪	szhhhsshszspnpn
暮	hssszhhhpnszhh
暯	szhhhssszhhhpn
暱	szhhhhsshpszhz
暲	szhhnhnphszhhhs
暳	szhhhhhshhhszhh
暴	szhhhsshpnsnhpn
暶	szhhnhzpphzshpn
暸	szhhhpnnpszhhspn
暹	szhhpsnhhhshnzn
暻	szhhszhhnhszhspn
暼	npszspnphpnszhh
暽	szhhnphspnpznhzs
暾	szhhnhszhzshphpn
暿	szhhhshszhnphszh
曀	szhhhshnzhszhpnh
曁	pszhhhzhzpzszhhh
曂	szhhhsshszhshpn
曃	szhhzhhsnhpnnzn
曄	szhhhsshhshshhs
曅	szhhhsshhsshhs
曆	hpphspnphspnszhh
曈	szhhnhnphszhhshh
曊	szhhzhzpsszhhhpn
曋	szhhhszsshszhhhs
曍	szhhpszhhhnhpnhs
曎	szhhszsshhshnphhs
曒	szhhpszhhnhzpphpn
曔	szhhhsspzszhphpn
曕	szhhpzhppnnhhhszh
曘	szhhhnzsnnnnhpszss
曙	szhhszsshhshpszhh
曚	szhhhssnzhhpzpppn
曛	szhhphsznphshhnnnn
曜	szhhznhznhpsnhhhsh
曝	szhhszhhhsshpnsnhpn
曠	szhhnhphsshszhshpn
曢	szhhnnzhpnnpszhhspn
曤	szhhhnzsnnnnpsnhhhsh
曦	szhhnphhshphspnhzzpn
曪	szhhszsshzznnnnpsnhhhsh
曬	szhhhsznhsznnhpzsshhzpz
曰	szhh
曲	szhssh
曳	szhhzp
更	hszhhpn
曵	szhhzpn
曹	hszhsshszhh
曼	szhhszsshzn
曾	npszsnphszhh
替	hhpnhhpnszhh
最	szhhhsshhhzn
朅	hshznszhhpzpnz
月	pzhh
有	hpszhh
朊	pzhhhhpz
朋	pzhhpzhh
朌	pzhhpnzp
服	pzhhzszn
朎	pzhhpnnzn
朏	pzhhzsszs
朐	pzhhpzszh
朑	pzhhhsshz
朓	pzhhpnhzpn
朔	nphzsppzhh
朕	pzhhnphhpn
朖	pzhhnzhhzpn
朗	nzhhznpzhh
朘	pzhhznpnpzn
望	nhzpzhhhhsh
朜	pzhhnhszhzsh
朝	hsszhhhspzhh
期	hsshhhpnpzhh
朠	pzhhhssszhpn
朣	pzhhnhnphszhhshh
朦	pzhhhssnzhhpzpppn
朧	pzhhnhnphszhhshzhzhhh
木	hspn
未	hhspn
末	hhspn
本	hspnh
札	hspnz
术	hspnn
朱	phhspn
朲	hspnpn
朳	hspnpn
朴	hspnsn
朵	pzhspn
朶	zphspn
朷	hspnzp
朸	hspnzp
朹	hspnpz
机	hspnpz
朻	hspnzs
朼	hspnpz
朽	hspnhz
朾	hspnhs
朿	hszspn
杀	pnhspn
杁	hspnpn
杂	pzhspn
权	hspnzn
杄	hspnphs
杅	hspnhhs
杆	hspnhhs
杇	hspnhhz
杈	hspnznn
杉	hspnppp
杊	hspnpss
杋	hspnpzn
杌	hspnhpz
杍	hspnzsh
李	hspnzsh
杏	hspnszh
材	hspnhsp
村	hspnhsn
杒	hspnzpn
杓	hspnpzn
杔	hspnphz
杕	hspnhpn
杖	hspnhpn
杗	nhzhspn
杘	zhphspn
杙	hspnhzn
杚	hspnphz
杛	hspnzhz
杜	hspnhsh
杝	hspnzsz
杞	hspnzhz
束	hszhspn
杠	hspnhsh
条	pznhspn
杣	hspnszs
杤	hspnhzp
来	hnphspn
杦	hspnpzn
杧	hspnnhz
杨	hspnzpp
杩	hspnzzh
杪	hspnspnp
杫	hspnshsh
杬	hspnhhpz
杭	hspnnhpz
杮	hspnhszs
杯	hspnhpsn
杰	hspnnnnn
東	hszhhspn
杲	szhhhspn
杳	hspnszhh
杴	hspnpzpn
杵	hspnphhs
杶	hspnhzsz
杷	hspnzshz
杸	hspnpzzn
杹	hspnpspz
杺	hspnnznn
杻	hspnzshh
杼	hspnznzs
杽	hspnphhs
松	hspnpnzn
板	hspnppzn
枀	pnznhspn
极	hspnpzn
枂	hspnpzhh
枃	hspnpznh
构	hspnpzzn
枅	hspnhhps
枆	hspnphhz
枇	hspnhzpz
枈	hzpzhspn
枉	hspnhhsh
枊	hspnpzzs
枋	hspnnhzp
枌	hspnpnzp
枍	hspnpnhz
枎	hspnhhpn
枏	hspnszhh
析	hspnpphs
枑	hspnhzzh
枒	hspnhzsp
枓	hspnnnhs
枔	hspnpnnz
枕	hspnnzpz
枖	hspnphpn
林	hspnhspn
枘	hspnszpn
枙	hspnhpzz
枚	hspnphpn
枛	hspnppsn
果	szhhhspn
枝	hspnhszn
枞	hspnpnpn
枟	hspnhhzn
枠	hspnpzhs
枡	hspnphps
枢	hspnhpnz
枣	hszspnnn
枤	hspnhpnn
枥	hspnhpzp
枦	hspnnzhp
枧	hspnszpz
枨	hspnphzn
枪	hspnpnzz
枫	hspnpzpn
枬	hspnpznh
枭	pznzhspn
枮	hspnshszh
枯	hspnhsszh
枰	hspnhnphs
枱	hspnznszh
枲	znszhhspn
枳	hspnszhpn
枵	hspnszhhz
架	zpszhhspn
枷	hspnzpszh
枸	hspnpzszh
枹	hspnpzzhz
枺	hspnhhspn
枻	hspnhsshz
枿	hspnhshps
柀	hspnzpszn
柁	hspnnnzpz
柂	hspnphzsz
柃	hspnpnnzn
柄	hspnhszpn
柅	hspnzhppz
柆	hspnnhnph
柇	hspnphspn
柈	hspnnphhs
柉	hspnpnzn
柊	hspnpznnn
柋	pshznhspn
柌	hspnzhszh
柍	hspnszhpn
柎	hspnpshsn
柏	hspnpszhh
某	hsshhhspn
柑	hspnhsshh
柒	nnhhzhspn
染	nnhpzhspn
柔	znzsphspn
柕	hspnznzsp
柖	hspnzpszh
柘	hspnhpszh
柙	hspnszhhs
柚	hspnszhsh
柛	hspnszhhs
柜	hspnhzhz
柝	hspnpphsn
柞	hspnphshh
柟	hspnszshh
柠	hspnnnzhs
柢	hspnpzhzn
柣	hspnphhpn
柤	hspnszhhh
查	hspnszhhh
柦	hspnszhhh
柧	hspnppznn
柨	hspnhpszs
柩	hspnhpznz
柪	hspnzznzp
柫	hspnzhzps
柬	hsznphspn
柭	hspnhpznn
柮	hspnzsszs
柯	hspnhszhs
柰	hspnhhspn
柱	hspnnhhsh
柲	hspnnznpn
柳	hspnpzpzs
柴	shshpzhspn
柵	hspnszssh
柶	hspnszpzh
柷	hspnszhpz
柸	hspnhpsnh
柹	hspnpzsp
柺	hspnszhzp
査	hspnszhhh
柼	hspnnnzpn
柽	hspnznhsh
柾	hspnhshsh
柿	hspnnhszs
栀	hspnpphzz
栁	hspnpznzs
栂	hspnzznhn
栃	hspnpphzp
栄	nnpnzhspn
栅	hspnpzpzh
栆	hszhspnnn
标	hspnhhspn
栈	hspnhhzpn
栉	hspnhsszs
栊	hspnhpzpn
栋	hspnhzspn
栌	hspnshzhp
栍	hspnphhsh
栎	hspnpzspn
栏	hspnnphhh
栐	hspnnzzpn
树	hspnznhsn
栒	hspnpzszhh
栓	hspnpnhhsh
栔	hhhszphspn
栕	hspnhszhsz
栖	hspnhszpzh
栗	hszsshhspn
栘	hspnpznpzn
栙	hspnpznhzs
栚	hspnnphhpn
栛	hspnzpzpzp
栜	hspnhszspn
栝	hspnphsszh
栟	hspnnphhps
栠	psphshhspn
校	hspnnhpnpn
栢	hspnhpszhh
栣	hspnpsphsh
栤	hspnnhszpn
栥	nhpzpnhspn
栦	hspnnpnsns
栧	hspnszhhzp
栩	hspnznhznh
株	hspnphhspn
栭	hspnhpszss
栮	hspnhsshhh
栯	hspnhpszhh
栰	hspnpshzpn
栱	hspnhsshpn
栲	hspnhshphz
栳	hspnhshppz
栵	hspnhpznss
样	hspnnphhhs
核	hspnnhzppn
根	hspnzhhzpn
栺	hspnpzszhh
栻	hspnhhshzn
格	hspnpznszh
栽	hshhspnzpn
栾	nhsspnhspn
栿	hspnpshpnn
桀	pznhzshspn
桁	hspnppshhs
桂	hspnhshhsh
桃	hspnpnhzpn
桄	hspnsnphpz
桅	hspnpzhpzz
框	hspnhhhshz
桇	zphszhhspn
案	nnzzphhspn
桉	hspnnnzzph
桊	nphhpnhspn
桋	hspnhzhzpn
桌	shszhhhspn
桍	hspnhpnhhz
桎	hspnhznhsh
桏	hspnhshzs
桐	hspnszhszh
桑	znznznhspn
桒	hshsshspn
桓	hspnhszhhh
桔	hspnhshszh
桕	hspnpshzhh
桖	hspnpszssh
桗	hspnzphspn
桘	hspnpszhzh
桙	hspnznphhs
桝	hspnpznhzs
桞	hspnpznzs
桟	hspnhhhzpn
桠	hspnhssnph
桡	hspnhzphpz
桢	hspnshszpn
档	hspnsnpzhh
桤	hspnszszhz
桥	hspnphpnps
桦	hspnpspzhs
桧	hspnpnhhzn
桨	nhspznhspn
桩	hspnnhphsh
桪	hspnzhhhsn
桫	hspnnnhspnp
桬	nnhspnphspn
桭	hspnhphhzpn
桮	hspnhpsnszh
桯	hspnszhhhsh
桲	hspnhsnzzsh
桴	hspnpnnpzsh
桵	hspnpnnpzph
桶	hspnznszhhs
桷	hspnpzpzhhs
桸	hspnpnhpszs
桹	hspnnzhhzpn
桻	hspnpznhhhs
桼	hspnpnsnhpn
桽	hspnpnpnhsh
桾	hspnzhhpszh
桿	hspnszhhhhs
梀	hspnhszhspn
梁	nnhzpnnhspn
梂	hspnhsnhpnn
梃	hspnphshzn
梄	hspnhszpzhh
梅	hspnphzznhn
梆	hspnhhhpzs
梇	hspnhhshhps
梈	hspnnhszhzs
梊	hshpphshspn
梋	hspnszhszhh
梌	hspnpnhhspn
梍	hspnpszhhhz
梎	hspnpszhhpz
梏	hspnphshszh
梐	hspnhzpzhsh
梑	hspnpzpnppn
梒	hspnpnnzszh
梓	hspnnhnphhs
梔	hspnpphzshz
梕	hspnzpnnznn
梖	hspnszhhhpn
梗	hspnhszhhpn
梙	hspnszhszhs
梚	hspnpzszhpz
梛	hspnzhhpzs
梜	hspnhpnpnpn
梞	hspnzhznznn
梠	hspnszhszh
梡	hspnnnzhhpz
梢	hspnsnpszhh
梣	hspnszspnnz
梦	hspnhspnpzn
梧	hspnhszhszh
梨	phspnsshspn
梩	hspnszhhshh
梪	hspnhszhnph
梫	hspnzhhnzzn
梬	hspnszhshhz
梭	hspnznpnpzn
梮	hspnzhpzszh
梯	hspnnpzhzsp
械	hspnhhpszpn
梱	hspnszhspnh
梲	hspnpnszhpz
梳	hspnnhznpsz
梴	hspnpshzzn
梵	hspnhspnpzn
梶	hspnzhpphhz
梷	shszhznhspn
梸	hspnphspnss
梹	hspnpshshpn
梻	hspnpszhzps
梼	hspnhhhphsn
梽	hspnhshnznn
梾	hspnhnphspn
梿	hspnhzhsnzn
检	hspnpnhnnph
棁	hspnnpszhpz
棂	hspnzhhnppn
棃	phspnpzphspn
棅	hspnphzhhspn
棇	hspnpnznnznn
棈	hspnhhshszhh
棉	hspnpszhhszs
棊	hsshhhpnhspn
棋	hspnhsshhhpn
棌	hspnpnnphspn
棍	hspnszhhhzpz
棎	hspnnzpnhspn
棏	hspnszhhhhsn
棐	shhhshhhhspn
棑	hspnshhhshhh
棒	hspnhhhpnhhs
棓	hspnnhnphszh
棔	hspnpzhzszhh
棕	hspnnnzhhspn
棖	hspnhshhhzpn
棘	hszspnhszspn
棙	hspnnzhphpnn
棚	hspnpzhhpzhh
棛	hspnnhznszhh
棜	hspnnhzppnnn
棝	hspnszhsszhh
棞	hspnszphspnh
棟	hspnhszhhspn
棠	snpnzszhhspn
棡	hspnsznphszs
棢	hspnsznphnhz
棣	hspnzhhsnhpn
棤	hspnhsshszhh
棦	hspnpzzhhs
棪	hspnnppnnppn
棫	hspnhszhhzpn
棬	hspnnphhpnzz
棭	hspnnhpspznn
森	hspnhspnhspn
棯	hspnpnnznznn
棰	hspnphshsshh
棱	hspnhshpnpzn
棲	hspnhzhhszph
棳	hspnznznznzn
棴	hspnpzhhzszn
棵	hspnszhhhspn
棶	hspnhpnpnspn
棷	hspnhsshhhzn
棸	hsshhhznhspn
棹	hspnshszhhhs
棺	hspnnnzszhzh
棻	hsspnzphspn
棼	hspnhspnpnzp
棽	hspnhspnpnnz
棾	hspnhspnnzpz
棿	hspnpshzhhpz
椀	hspnnnzpznzz
椁	hspnnhszhzsh
椂	hspnzhhsnhpn
椄	hspnnhnphzph
椅	hspnhpnhszhs
椆	hspnpzhshszh
椇	hspnszhhhhpn
椈	hspnpznphspn
椊	hspnnhpnpnhs
椋	hspnnhszhspn
椌	hspnnnzpnhsh
植	hspnhsszhhhh
椎	hspnpsnhhhsh
椐	hspnzhphsszh
椑	hspnpszhhphs
椒	hspnshhspnzn
椓	hspnhpzppnpn
椔	hspnzzzszhsh
椖	hspnnzhpnhzp
椗	hspnnnzhshpn
椘	hspnhspnnzn
椙	hspnszhhszhh
椞	hspnpphshspn
椟	hspnhsznnhpn
椠	hzshpphshspn
椡	hspnhznhshss
椢	hspnszhhshnh
椣	hspnszhsshpn
椤	hspnszsshpzn
椥	hspnphhpnszh
椦	hspnnphhpnzp
椧	hspnpnhszhzs
椨	hspnnhppshsn
椩	hspnnhpzhhpn
椪	hspnnphssnph
椫	hspnnpszhhhs
椬	hspnnnzszhhh
椭	hspnzshpszhh
椮	hspnznhpnppp
椯	hspnszshpszss
椰	hspnhsshhhzs
椱	hspnphszhhpzn
椳	hspnszhshhzpn
椴	hspnpshhhpzzn
椶	hspnpnzspnpzn
椷	hspnhphszhzpn
椸	hspnnhzpphzsz
椹	hspnhsshhhpnz
椺	hspnpsszhhspn
椻	hspnhszhhzphz
椼	hspnppsnnhhhs
椽	hspnzzhpzpppn
椾	hspnnphszhhss
椿	hspnhhhpnszhh
楀	hspnpszhszshn
楁	hspnnnzpznszh
楂	hspnhspnszhhh
楃	hspnzhphznhsh
楄	hspnnzhpszhss
楅	hspnhszhszhsh
楆	hspnhszsshzph
楈	hspnzshpnszhh
楉	hspnhsshpszh
楋	hspnhszhspnss
楌	hspnnhnphpppp
楐	hspnszhshpnps
楑	hspnznppnhhpn
楒	hspnszhshnznn
楔	hspnhhhszphpn
楕	hspnhphshszhh
楖	hspnzhhznzs
楗	hspnzhhhhszn
楘	znzspphpnhspn
楚	hspnhspnzshpn
楜	hspnhsszhpzhh
楝	hspnhsznphspn
楞	hspnszsshnhzp
楟	hspnnhszhnzhs
楠	hspnhssznphhs
楡	hspnpnhszhhzz
楢	hspnnphszpzhh
楣	hspnzshpszhhh
楤	hspnpzppnnznn
楥	hspnpnnphhpzn
楦	hspnnnzhszhhh
楧	hspnhssszhpn
楨	hspnshszhhhpn
楩	hspnpshszhhpn
楫	hspnszhhsshhh
楬	hspnszhhpzpnz
楮	hspnhshpszhh
楯	hspnpphsszhhh
楰	hspnpshzhhpn
楱	hspnhhhpnhhpn
楳	hspnhsshhhspn
楴	hspnnhnpnzszs
極	hspnzsszhznh
楷	hspnhzpzpszhh
楸	hspnphspnnppn
楹	hspnzpznszssh
楺	hspnznzsphspn
楻	hspnpszhhhhsh
楼	hspnnphspnzph
楾	hspnpszhhszpn
楿	hspnphspnszhh
榀	hspnszhszhszh
榁	hspnnnzhznhsh
概	hspnzhhznhzpz
榄	hspnssphnszpz
榅	hspnszhhszssh
榆	hspnpnhszhhss
榇	hspnnhnphhspn
榈	hspnnszszhszh
榉	hspnnnphpnhhs
榍	hspnzhpsnpszhh
榎	hspnhpszhhhpzn
榏	hspnnphpnszssh
榐	hspnzhphsshzpn
榑	hspnhszhhsnhsn
榒	hspnzhznhzhznh
榓	hspnnznpnszssh
榔	hspnnzhhznzs
榕	hspnnnzpnpnszh
榖	hshnzhhspnpzzn
榗	hspnhssnphszhh
榘	phhpnhzhzhspn
榙	hspnhsspnhszh
榚	hspnnphhshnnnn
榛	hspnhhhpnphspn
榜	hspnnhnpnznhzp
榝	hspnpnhspnpzzn
榞	hspnhppszhhspn
榟	hspnnnznhnphhs
榠	hspnnzszhhnhpn
榡	hspnhhshzznspn
榢	hspnnnzhpzpppn
榣	hspnpnnpphhszs
榤	hspnpznhzshspn
榥	hspnszhhsnphpz
榦	hsszhhhspnhspn
榧	hspnhshhhshhhz
榨	hspnnnzpnphshh
榩	hspnshzphznhpn
榫	hspnpsnhhhshhs
榬	hspnhshszhpzpn
榭	hspnpszhhhphsn
榰	hspnhshppzszhh
榱	hspnnhszhhpzpn
榲	hspnszpnhszssh
榳	hspnnhpphshzn
榴	hspnpznzpszhsh
榵	hspnhsshsshhh
榶	hspnnhpzhhsszh
榻	hspnszhhznhznh
榼	hspnhshznszssh
榽	hspnpnnpzznhpn
榾	hspnszznzszhh
榿	hspnszshszhnph
槁	hspnnhszhszszh
槃	ppznhnpzznhspn
槄	hspnpnnppshzhh
槅	hspnhszhsznphs
槆	hspnhsspzszhh
槈	hspnhphhzpnhsn
槉	hspnnhpnhphhpn
槊	nphzsppzhhhspn
槌	hspnpszhzhnzn
槎	hspnnphhhphsh
槏	hspnnphzhhsspn
槐	hspnpszhhpzzn
槒	hspnnhzznszhsh
槓	hspnhshszhhhpn
槔	hspnpszhhhpnhs
槕	hspnshszhhhspn
槖	hshnzhpszhhspn
槗	hspnhpszhszszh
槙	hspnhsszhhhhpn
槚	hspnhszsshszpn
槛	hspnssphnszssh
槜	hspnpsnhhhshzp
槞	hspnnhnphszhhz
槟	hspnnnzpshshpn
槠	hspnnzhshpszhh
槡	hspnznznznhspn
槣	hspnnnzhpnhszhs
槤	hspnhszhhhsnzn
槥	hspnhhhshhhszhh
槦	hspnnhpzhhszhhs
槨	hspnnhszhzshzs
槬	hspnhpnhhzppznn
槭	hspnhpshhspnzpn
槮	hspnznznznpnppp
槯	hspnszspsnhhhsh
槰	hspnpznhhhsnzn
槲	hspnpzpzhhsnnhs
槳	zshppznnhsnhspn
槴	hspnnzhpszhzshz
槵	hspnszhszhsnznn
槺	hspnnhpzhhsnhpn
槻	hspnhhpnszhhhpz
槼	hhpnszhhhpzhspn
槽	hspnhszhsshszhh
槾	hspnszhhszsshzn
槿	hspnhsshszhhhsh
樀	hspnnhnpszhsszh
樁	hspnhhhpnpshzhh
樃	hspnnzhhznpzhh
樆	hspnnhpnzsszzn
樈	hspnnhnphszhhpz
樉	hspnhpnpnpnpnpn
樊	hspnpnpnhspnhpn
樋	hspnznszhhsnzn
樎	hspnnnzpshpszhh
樏	hspnszhshzznspn
樐	hspnshszpnnnnnh
樑	hspnnnhzpnnhspn
樔	hspnzzzszhhhspn
樕	hspnhszhspnpzpn
樘	hspnsnpnzszhhsh
標	hspnhszsshhhspn
樚	hspnnhpzsshhzpz
樛	hspnznhznhpnppp
樜	hspnnhphsshnnnn
樟	hspnnhnphszhhhs
模	hspnhssszhhhpn
樦	hspnphnphnnhhsh
樨	hspnzhpsnhpnphhs
横	hspnhsshszhshpn
樫	hspnhszhszznhsh
樬	hspnpszpznhnznn
樭	hspnhsshhhpnhsh
樯	hspnhsnphszszhh
樰	hspnhnzsnnnnzhh
樱	hspnszpnszpnzph
樵	hspnpsnhhhshnnnn
樶	hspnszhhhsshhhzn
樸	hspnssnphnphhhpn
樹	hspnhshszhnphhsn
樺	hspnhsshhsshhs
樻	hspnszhshszhhhpn
樼	hspnzhpzshzshzsh
樽	hspnnphszpzhhhsn
樾	hspnhshshpnhzzpn
樿	hspnszhszhszhhhs
橀	hspnnhznpszszssh
橁	hspnphnphnpzszhh
橂	hspnnphszpzhhhpn
橃	hspnznppnzhzpzzn
橄	hspnzhsshhhphpn
橇	hspnphhzphhzphhz
橉	hspnnphspnpznhzs
橎	hspnpnphspnszhsh
橏	hspnnphhhsnphszh
橑	hspnhpnnpszhhspn
橓	hspnpnnpnzpznhzs
橔	hspnnhszhzshphpn
橕	hspnsnpnzszhhzsp
橖	hspnsnpnzszhhspn
橗	hspnhssszhhpzhh
橘	hspnznzspszpnszh
橙	hspnznppnhszhnph
橛	hspnhpnphzsppzpn
橜	hpnphzsppzpnhspn
橝	hspnhszsshszhhhs
橞	hspnhszhhshnnznn
機	hspnzznzznhpnzpn
橡	hspnpzszhpzpppn
橢	hspnzshphshszhh
橦	hspnnhnphszhhshh
橧	hspnnpszsnphszhh
橪	hspnpznnhpnnnnnn
橫	hspnhsshhszhshpn
橬	hspnhzpzhzpzszhh
橭	hspnhsszhnhnphhs
橲	hspnhshszhnphszh
橵	hspnhsshszhhphpn
橶	hspnhsszhhhshzpn
橹	hspnpzszhshhszhh
橼	hspnzzhzzhpzpppn
橽	hspnhshnphhhsnzn
橾	hspnszhszhszhhspn
橿	hspnhszhshhszhshh
檀	hspnnhszszhhszhhh
檁	hspnnhszszhhphspn
檄	hspnpszhhnhzpphpn
檊	hspnhsszhhhspnhhs
檋	hspnhsshpnhszhhhs
檌	hspnszsshshhhshhh
檍	hspnnhnphszhhnznn
檎	hspnpnnhpnzsszzn
檐	hspnpzhppnnhhhszh
檑	hspnhnzsnnnnszhsh
檒	hspnhspnpzpszhshn
檓	hspnpshzhhhshpzzn
檔	hspnsnpnzszhszhsh
檕	hszhhhszspzznhspn
檖	hspnnphpzpppnnzn
檗	zhpszhnhnphhshspn
檘	hspnzhpszhnhnphhs
檙	hspnszhhhzhpshsz
檚	hspnhspnhspnzshpn
檝	hspnszhhsshhhzpn
檞	hspnpzpzhhszpphhs
檣	hspnhspnpnhszszhh
檦	hspnhszsshhhspnss
檩	hspnnhszszhhhhspn
檫	hspnnnzpznnznhhspn
檬	hspnhssnzhhpzpppn
檰	hspnzznnnnpszhhszs
檱	hspnphnphnhsshhhpn
檺	hspnnhszhnzhpzpppn
檽	hspnhnzsnnnnhpszss
櫂	hspnznhznhpsnhhhsh
櫄	hspnphsznphshhnnnn
櫆	hspnpszhhpzznnnhs
櫓	hspnpzszhshnnnnszhh
櫘	hspnhhhshhhszhhnznn
櫴	hspnhszhspnpzszhhhpn
櫵	hspnhsspsnhhhshnnnn
櫼	hspnpnpnhshhhshhhhzpn
欠	pzpn
次	nhpzpn
欢	znpzpn
欣	pphspzpn
欧	hpnzpzpn
欮	nphzsppzpn
欰	pszsshpzpn
欱	pnhszhpzpn
欲	pnpnszhpzpn
欶	hszhspnpzpn
欺	hsshhhpnpzpn
款	hshhhspnpzpn
欿	pzpshzhhpzpn
歁	hsshhhpnzpzpn
歂	szshpszsspzpn
歃	phspshzhhpzpn
歆	nhnphszhhpzpn
歇	szhhpzpnzpzpn
歉	nphzhhsspnpzpn
歊	nhszhszszhpzpn
歌	hszhshszhspzpn
歏	hsshszhhhshpzpn
歔	shzphzssnphpzpn
歖	hshszhnphszhpzpn
止	shsh
正	hshsh
此	shshpz
步	shshspp
武	hhshshzn
歧	shshhszn
歨	shshshpn
歩	shshspnp
歪	hpsnhshsh
歫	shshhzhz
歭	shshhshhsn
歵	shshhhshszhhhpn
歹	hpzn
歺	shpzn
死	hpznpz
歼	hpznphs
歽	hpznpphs
歾	hpznpzpp
歿	hpznzpzn
殀	hpznphpn
殁	hpznpzzn
殂	hpznszhhh
殃	hpznszhpn
殄	hpznpnppp
殅	hpznphhsh
殆	hpznznszh
殇	hpznphzpp
殈	hpznpszssh
殉	hpznpzszhh
殊	hpznphhspn
残	hpznhhzpn
殌	hpznhzzzhsh
殍	hpznpnnpzsh
殐	hpznhszhspn
殒	hpznszhszpn
殓	hpznpnhnnph
殔	hpznzhhsnhpn
殕	hpznnhnphszh
殖	hpznhsszhhhh
殗	hpznhpnszhhz
殘	hpznhzpnhzpn
殚	hpznnpszhhhs
殛	hpznzsszhznh
殜	hpznhsshzhspn
殝	hpznhhhpnphspn
殞	hpznszhszhhhpn
殟	hpznszhhszssh
殡	hpznnnzpshshpn
殣	hpznhsshszhhhsh
殤	hpznphszhhhpzpp
殩	hpznhpznznnphspn
殭	hpznhszhshhszhshh
殱	hpznhshshhhshhhhzpn
殴	hpnzpzzn
段	pshhhpzzn
殶	nhhshpzzn
殷	ppzhhzpzzn
殽	pnhpszhhpzzn
殾	hshpszhhpzzn
殿	zhphsshpnpzzn
毀	pshzhhhshpzzn
毁	pshzhhhshpzzn
毂	hshnzhzshpzzn
毃	nhszhszszhpzzn
毅	nhnphpzpppnpzzn
毋	zzph
母	zznhn
每	phzznhn
毑	zznhnzsz
毒	hhshzznhn
毓	phzznhnnhznpsz
比	hzpz
毕	hzpzhs
毖	hzpznznpn
毗	szhshhzpz
毙	hzpzhpznpz
毛	phhz
毡	phhzshszh
毦	hsshhhphhz
毫	nhszhnzphhz
毭	hszhnphphhz
毯	phhznppnnppn
毰	phhznhnphszh
毱	phhzpznphspn
毷	szhhszhhhphhz
毹	pnhszhhssphhz
毼	szhhpzpnzphhz
毽	phhzzhhhhszn
氁	phhzhssszhhhpn
氄	znzspszpnszhphhz
氅	snpszszhphpnphhz
氈	nhszszhhszhhhphhz
氊	phhznhszszhhszhhh
氏	pzhz
氐	pzhzn
民	zhzhz
氒	pzhzhs
氓	nhzzhzhz
气	phhz
氕	phhzp
氖	phhzzp
気	phhzpn
氘	phhzps
氙	phhzszs
氚	phhzpss
氛	phhzpnzp
氜	phhzszhh
氝	phhzszpn
氞	phhzhszpn
氟	phhzzhzps
氠	phhzszhhs
氡	phhzpznnn
氢	phhzznhsh
氣	phhznphspn
氤	phhzszhpnh
氥	phhzhszpzh
氦	phhznhzppn
氧	phhznphhhs
氨	phhznnzzph
氩	phhzhssnph
氪	phhzhsszhpz
氫	phhzhzzzhsh
氬	phhzhshzzhsh
氭	phhzhszhhspn
氮	phhznppnnppn
氯	phhzzhhsnhpn
氰	phhzhhshszhh
氱	phhzszhhhpzpp
氲	phhzszhhszssh
氳	phhzszpnhszssh
水	szpn
氶	zszpn
永	nzzpn
氻	nnhzp
氽	pnszpn
氾	nnhzz
氿	nnhpz
汀	nnhhs
汁	nnhhs
求	hsnhpnn
汃	nnhpn
汄	nnhpn
汅	nnhhz
汆	pnszpn
汇	nnhhz
汈	nnhzh
汉	nnhzn
汊	nnhznn
汋	nnhpzn
汌	nnhpss
汍	nnhpzn
汎	nnhpzn
汏	nnhhpn
汐	nnhpzn
汑	nnhphz
汒	nnhnhz
汓	nnhzsh
汔	nnhphz
汕	nnhszs
汖	szsszpn
汗	nnhhhs
汘	nnhphs
汙	nnhhhs
汚	nnhhhz
汛	nnhzhs
汜	nnhzhz
汝	nnhzph
汞	hshszpn
江	nnhhsh
池	nnhzsz
污	nnhhhz
汢	nnhhsh
汣	nnhpzn
汤	nnhzpp
汥	nnhhszn
汦	nnhpzhz
汧	nnhhhps
汨	nnhszhh
汩	nnhszhh
汪	nnhhhsh
汫	nnhhhps
汭	nnhszpn
汮	nnhpznh
汯	nnhhpzn
汰	nnhhpnn
汱	nnhhpnn
汲	nnhpzn
汳	nnhppzn
汴	nnhnhsn
汵	nnhpnnz
汶	nnhnhpn
汸	nnhnhzp
汹	nnhpnzs
決	nnhzhpn
汻	nnhphhs
汼	nnhphhs
汽	nnhphhz
汾	nnhpnzp
汿	nnhznzs
沀	szpnznzs
沁	nnhnznn
沂	nnhpphs
沃	nnhphpn
沄	nnhhhzn
沅	nnhhhpz
沆	nnhnhpz
沇	nnhznpz
沈	nnhnzpz
沉	nnhnzpz
沋	nnhhpzn
沌	nnhhzsz
沍	nnhhzzh
沎	nnhpspz
沏	nnhhzzp
沐	nnhhspn
沑	nnhzshh
沒	nnhzpzn
沓	szpnszhh
沖	nnhszhs
沗	hhpnsnhpn
沘	nnhhzpz
沙	nnhspnp
沚	nnhshsh
沛	nnhhszs
沜	nnhpshz
沞	nnhhszs
沟	nnhpzzn
沠	nnhppsn
没	nnhpzzn
沢	nnhzhpn
沣	nnhhhhs
沤	nnhhpnz
沥	nnhhpzp
沦	nnhpnpz
沧	nnhpnzz
沨	nnhpzpn
沩	nnhnpzn
沪	nnhnzhp
沫	nnhhhspn
沬	nnhhhspn
沭	nnhhspnn
沮	nnhszhhh
沰	nnhhpszh
沱	nnhnnzpz
