汉字	同音同调	同音异调	近音同调	近音异调	同部首同笔画数
吟	垠夤银鄞龈淫簷寅霪	瘾听胤印饮因尹茵音湮姻阴縯慇氤荫殷隐引蚓	莹钖佯疡洋飏杨羊徉赢盈萦蝇炀萤烊迎扬营荧嬴昜楹旸茔瀛阳	缨罂景郢仰莺樱鸯映怏央秧鹦应英样鹰漾颖恙鞅硬炀泱养殃膺痒婴瑛嘤璎氧影	吮吭听含吩吧否吠吾吼吻吸吹呐吵吴吱呈告呎呀呃吕呆吝吞君
听	瘾饮縯尹隐蚓引	夤胤银鄞印饮因龈茵淫簷音寅垠湮姻阴吟慇氤荫殷隐霪	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛	吮吭含吩吧否吠吾吼吻吸吹呐吵吴吱呈告呎呀呃吕呆吝吞吟君
囱	创葱匆枞疮窗从聪	怆创撞淙闯床抢从幢丛	冲冲皴充憧村春舂	冲鹑吋崇虫虫忖淳寸醇宠唇纯蠢唇重存	囤困囫
困	困	捆髡捆琨焜坤锟昆梱昆	圹共矿旷眶空况逛框棍供贡控	矿辊共鲧倥汞工滚蚣狂衮硿巩孔躬恐筐框功釭弓龚公拱犷攻诳宫红崆廾恭空匡劻肱广洸胱供光	囤囱囫
囤	钝炖屯吨臀顿盾沌遁盹饨豚	蹲褪吞趸墩敦惇盹	瞳铜同褪峒桐僮栋彤痛恫恸胴潼洞冻动童	钝蹲铜桐僮栋惇恸东豚冬洞潼冬屯筒墩臀动沌统懂饨瞳同峒董桶彤痛顿恫遁炖胴吞通趸吨冻童盾敦盹咚	困囱囫
囫	瑚壶胡鹄蝴胡糊湖葫弧斛狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护	氟缚匐夫蝠绋扶芾幅孚弗辐绂袱福浮伏符菔拂涪怫佛服芙俘	富馥覆附肤俯𫓧复府夫腑腐𫖯甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣	囤困囱
坊	防妨芳肪枋房方	放妨倣舫仿肪纺方防访芳枋彷房	吭棻氛航痕吩分汾芬坟焚行杭桁纷	吭航氛吩分很份芬坟奋行沆桁杭棻痕汾恨狠粪焚纷忿愤粉	坏坎坍圻圾均坐址坑
坑	吭铿阬		更跟粳羹庚耕根赓	更垦耿埂艮龈啃梗亘肯恳哽	坏坎坍圻坊圾均坐址
址	芷征止纸趾祇只指祉旨咫	雉秩帜蛭志氏脂值肢执祇峙枝治支制质祗之芝志姪稚窒植织栀泜痣智致胝滞汁吱致置痔摭至挚制轾踯踬蜘直掷识知只炙只职卮殖	仔訾紫滓籽子梓	恣淄渍锱缁赀咨兹字子姿孳资孜辎滋咨龇玆髭自吱	坏坎坍圻坊圾均坐坑
坍	贪探滩摊瘫	昙毯覃炭袒痰潭坛弹叹碳叹谭谈探檀坦坛	箪丹担耽单	诞淡蛋石惮弹撢但啖胆啗疸氮旦担澹	坏坎圻坊圾均坐址坑
均	钧龟军君	隽窘浚郡峻骏濬俊蕈菌竣	熏凶勋兄薰汹醺匈勋穹胸凶	汛巡浔炯窘徇迥雄裙潠驯询璿巽蕈殉群琼循穹训迅逊穷讯寻熊荀洵旬	坏坎坍圻坊圾坐址坑
坎	侃槛砍崁	戡看瞰勘刊堪	橄敢感秆杆赶	干竿甘疳柑淦干干尴干坩赣杆肝	坏坍圻坊圾均坐址坑
圾	棘戢疾击辑寂集脊及嫉藉色唧涩急伋吉即楫瘠汲塞吃亟穑瑟啬级极籍岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	摄歧琪齐琦席涉叶耆棋拾骑设惜祺祁舍赦期祇媳祈枝息锡锜歙昔褶麝淇其旗麒习社脐畦鳍崎圻奇岐衹席熄射檄袭	携烯嬉赊膝妻玺洗溪岂绮舍细碛弃舌析舍乞系启甚器栖讫蛇漆戚迄蟋羲起夕什蹊歙气奢曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜𫍻谿稽牺亟唏嘻凄晞潟泣西契系憩奚戚砌七缉僖	坏坎坍圻坊均坐址坑
坐	作座凿做祚柞	昨作左砟佐		棹擢浊卓濯琢镯著酌拙涿灼斫捉桌茁啄	坏坎坍圻坊圾均址坑
坏	劈披呸坏铍被纰匹批丕霹胚	辔陂譬仳佩疲徊否沛沘僻槐癖琵啤辟鼙裴脾踝媲匹陪培怀淮皮痞珮埤辟配枇陴铍屁罢纰毗裨疋赔			坎坍圻坊圾均坐址坑
圻	歧淇其琪旗齐琦耆麒棋骑祺脐畦鳍祁崎奇岐衹祇期祈枝锜	愒萋凄妻欺溪岂绮碛弃杞乞汽启柒器栖企讫谿稽漆戚亟迄凄泣起契憩戚砌七缉气	棘戢疾击辑寂集脊及嫉藉唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	坏坎坍坊圾均坐址坑
壮	撞状	妆桩装奘庄	圳俊	准屯谆尊肫遵樽准撙	
夹	嘉颊加葭家挟迦痂浃荚戛袈茄豭佳家	嘉架钾颊甲家挟迦价贾荚袈嫁佳胛假夏加葭稼浃驾痂戛茄豭家	狎暇侠辖霞斜柙挟峡匣洽狭虾黠遐呷瞎瑕	狎暇侠辖吓霞斜夏柙挟峡恰匣洽下卡狭虾黠遐厦呷瞎瑕	
妆	桩装庄	壮撞奘状	屯谆尊肫遵樽	准圳准俊撙	妞妍妊妨妙妤妥妖妓妒妣
妒	杜蠹度镀渡肚	髑渎堵椟读睹犊笃黩赌嘟肚都督毒牍独	兔吐菟	凸土荼涂酴图秃徒余突屠吐途	妞妆妍妊妨妙妤妥妖妓妣
妨	防坊肪房	放访倣舫芳坊仿枋彷纺方	行吭桁杭痕航汾坟焚	棻氛吩分恨很份芬狠粪奋行沆纷忿愤粉	妞妆妍妊妙妤妥妖妓妒妣
妞		钮拗扭纽忸牛	撩溜	尿刘廖缭柳聊潦流疗料辽铆馏暸硫鸟六嬝袅留寮泵琉浏寥撩瘤溜霤僚嘹燎了遛陆榴瞭	妆妍妊妨妙妤妥妖妓妒妣
妣	彼鄙笔匕比沘	弊璧必敝铋薜哔痺箄襞避臂毙逼庇毕俾愎陛碧贲泌鄙跸篦蔽诐埤辟闭弼婢秘比壁睥币鼻裨			妞妆妍妊妨妙妤妥妖妓妒
妙	缪庙	缈描渺瞄杪苗邈秒杳藐眇	谬		妞妆妍妊妨妤妥妖妓妒妣
妖	邀要么哟夭吆腰	要淆耀夭崤咬杳谣瑶侥窈钥尧摇洮鹞舀榣乐肴姚遥肴窑药拗曜爻	幽攸悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉	妞妆妍妊妨妙妤妥妓妒妣
妍	炎延研阎癌簷沿簷盐颜筵岩严言岩	艳堰焰俨谚烟雁验衍魇掩湮腌赝郾咽艳殷砚晏偃研兖眼咽奄彦烟胭沿燕鼹腌餍酽厌淹燄焉演嫣宴唁			妞妆妊妨妙妤妥妖妓妒妣
妤	盂隅娱榆愚鱼逾禺舆愉褕竽蝓雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂𫐄污垩	妞妆妍妊妨妙妥妖妓妒妣
妓	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉席琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆戚息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜𫍻谿稽牺唏嘻凄晞西席熄奚戚七袭檄僖	妞妆妍妊妨妙妤妥妖妒妣
妊	衽刃纫韧认仞饪轫任赁	仁荏稔壬人忍儿任	让	扔瓤嚷攘仍禳壤	妞妆妍妨妙妤妥妖妓妒妣
妥	椭	陀跎唾沱柝托驮脱鸵佗拖驼拓托	躲朵	咄剁踱夺朵驮堕度跺惰舵铎多	妞妆妍妊妨妙妤妖妓妒妣
孝	效笑啸校肖傚酵	枭逍嚣哮消筿晓削硝销小霄骁箫嘐潇萧宵学	教溴袖救窖就厩岫柩醮究较旧秀臼舅咎锈轿疚校宿叫嗅臭觉绣	啾朽修皎娇揪鸠灸羞蕉九浇饺跤狡鲛修胶搅韭宿赳蛟久教姣骄玖纠侥焦詨角椒交咻礁较勦酒郊脚缴铰绞剿矫休嚼	孜孚孛
孜	淄锱缁赀咨兹姿孳资辎滋咨龇玆髭吱	仔訾字恣紫滓籽渍子孳梓自	肢祇织栀枝泜蜘支氏知只只祗之脂胝芝卮汁吱	雉秩帜止蛭志芷值址执祇祉峙治制纸质志姪稚窒植咫痣智致滞致置痔摭至挚制轾踯踬直掷知识征只炙趾指职旨殖	孝孚孛
孚	氟缚匐夫蝠绋扶芾幅弗辐绂袱福浮伏符菔拂涪怫佛服芙俘	富馥覆附肤俯𫓧复府夫腑腐𫖯甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护	孜孝孛
孛	贝钡倍背焙辈狈备臂邶惫悖被蓓	杯杯北揹卑背俾碑悲裨			孜孝孚
完	玩丸汍顽	惋弯湾莞碗蜿腕挽万宛玩挽晚皖绾豌剜娩婉	缘媛源员原辕园圆援𫘪猿湲元爰袁沅垣	宛院苑媛愿渊愿冤鸳鸢怨远	宋宏
宋	诵讼颂送	嵩松悚松怂崧耸淞忪	舜瞬潠顺	飧吮损榫笋盾荪孙	宏完
宏	讧泓弘黉闳洪红虹鸿	薨烘哄哄汞轰	馄珲混浑魂	荤辊混昏浑婚	宋完
尬		价轧嘎噶	喀	咖咳卡喀哈	
局	跼掬桔局菊鞠橘	苣炬飓具巨疽巨倨剧遽屦距俱狙聚据龃咀莒举惧踞瞿蛆车驹拘句锯沮足拒居矩	徐劬渠曲衢瞿璩	叙絮蓄取许圈须煦砠曲需区勗驱咻续嘘序趋岖墟胥去恤畜娶洫婿酗趣瞿吁恤漆戌蛆须屈龋绪顼訏蛐躯虚栩旭	尾尿屁
屁	僻辟譬癖媲辟	劈披陂仳疲否沘坏琵批啤鼙脾匹丕霹皮痞埤枇陴铍被罢纰毗疋裨			尾尿局
尿		鸟嬝袅	霤廖馏燎拗陆六料溜瞭	刘缭柳聊潦流扭疗辽铆暸钮硫牛留寮泵琉浏寥撩瘤溜妞僚嘹燎了遛榴纽忸瞭	尾屁局
尾	苇椅娓蚁乙旖伟洧痿偯纬迆迤鲔萎以已矣猥诿倚委	漪屹轶谊呓迤威缢逸夷佾彝渭惟桅劓稣逶疫帏位疑懿揖役佚弋咦裔蜴弈饴帟蔚益萎栘遗腋艾曳为崴咿伊绎贻忆帷掖浥喂尉奕一违抑痍艺肄刈维移未韦溢沂宜味煨医喂颐慰噫镒毅义谓𫍙蛇巍邑亿褽液闱仪易羿姨壹驿魏卫胃译翌异臆唯亦潍围诣议意薇伪怡危微偎翳胰圯畏翼衣依委			尿屁局
岐	歧淇其琪旗齐琦耆麒棋骑祺脐畦鳍祁崎圻奇衹祇期祈枝锜	愒萋凄妻欺溪岂绮碛弃杞乞汽启柒器栖企讫谿稽漆戚亟迄凄泣起契憩戚砌七缉气	棘戢疾击辑寂集脊及嫉藉唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	岔岑岌
岑	涔	参	场长谌晨尘苌藏尝诚城程承曾辰盛沉层尝沈徜呈常澄裳乘肠丞惩偿橙宸陈娠成忱臣嫦	场畅猖倡敞趁唱秤榇疢撑瞋氅骋称衬伥昌鲳仓娼谶舱瞠沧琛逞苍厂怅伧	岔岐岌
岔	诧刹差	察搽查喳叉茶插差		搽擦	岑岐岌
岌	棘戢疾击辑寂集脊及嫉藉唧急伋吉圾即楫瘠汲吃亟级极籍	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪迹基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技𪟝稽既悸跻系叽济鲫戟骥饥	歧其淇旗琪齐席琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆戚迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜𫍻谿稽牺亟唏嘻凄晞潟泣西契系憩奚戚砌七缉僖	岔岑岐
巫	污乌毋恶呜鼯唔于吾屋亡诬圬无钨污梧吴芜蜈	武污鹉晤骛侮吾悟坞亡误诬务无吴午五乌毋伍寤戊恶呜于鼯妩唔物勿怃屋雾舞兀圬钨捂𫐄污梧芜蜈垩	盂妤隅瘀娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎淤渔迂腴臾于谀纡圩余瑜余俞予欤萸虞于	瘉滪妤域瘀娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预迂渔语于纡与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁淤腴遇臾谀庾圩聿尉瑜予萸于浴	
希	携曦淅悉熹烯禧犀嬉膝行蜥稀吸溪晰畦兮析熙厘栖𫍻谿牺蟋唏晞嘻羲西奚蹊僖	系汐席翕戏隙惜习玺徙洗细鳃系媳矽喜息潟夕系席锡熄歙袭昔檄褶	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹𪟝稽迹基跻叽居饥	洎棘疾暨忌祭集脊己骑藉芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥	
序	叙恤畜洫絮酗婿蓄恤顼绪勗续旭	墟胥吁戌许须徐訏须煦需虚咻栩嘘	炬苣飓惧具巨踞瞿巨倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙局掬菊局锯沮鞠居龃矩	庇床
庇	弊璧必敝铋薜哔痺箄襞避臂毙毕愎俾陛碧贲泌鄙跸篦蔽诐埤辟闭弼婢秘比壁睥币裨	彼鄙笔逼匕比沘鼻妣			床序
床	撞幢	怆创疮闯抢窗囱	淳鹑醇纯唇唇存	忖皴寸吋蠢村春	庇序
廷	霆婷蜓停亭庭	听厅挺汀梃艇		定叮酊仃鼎丁顶盯锭订钉	
弄		秾侬浓哝农脓	论	龙眬论窿垄沦咙隆伦珑轮聋拢仑仑笼陇胧抡纶	
弟	娣缔递谛帝的地棣蒂第	滴低镝荻迪底的嘀狄敌氐牴砥柢犒翟涤芽邸笛抵诋嫡	涕悌屉剃替锑逖嚏惕	剔题梯堤蹄踢啼体隄缇提	
彤	瞳铜同潼桐峒僮童	通筒桶痛统恫恸	囤屯臀饨豚	钝蹲栋惇东冬冬洞墩动沌懂囤褪董恫顿遁炖胴吞趸吨冻盾盹敦咚	形
形	邢行刑陉型硎	醒性兴幸馨幸惺杏星悻姓省腥猩	寻	竟颈泾信靖心粳烬馨芯精静筋缙谨进䜣巾茎新竞噤津尽莘觐斤经璟锦近迳昕今境欣惊景锌睛矜劲警襟更径觔兢瑾晶旌京井尽馑金晋鲸痉紧净仅禁荆镜菁薪憬浸辛敬衅阱	彤
彷	访倣舫仿纺	放防妨芳坊肪枋房方	很狠粉	吭棻痕航氛吩分汾恨份芬坟粪焚奋行沆杭桁纷忿愤	役
役	屹艺肄轶刈谊呓缢逸佾溢劓疫懿镒毅义邑亿液佚易羿弋裔蜴驿弈帟译翌异益臆腋亦艾曳诣议意绎忆掖浥翳奕一抑翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			彷
忘	望王旺妄	惘往汪亡王网魍罔枉辋尢	韵员运紊晕酝抆蕴汶文孕闻问熨愠免	云雯玟纹筠蚊昀晕氲刎纭耘允文闻匀瘟吻陨云温稳塭芸	志忱忌忍忸忪快
忌	洎暨寄祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉席琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆戚息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜𫍻谿稽牺唏嘻凄晞西席熄奚戚七袭檄僖	志忱忍忸忪快忘
志	雉秩帜蛭稚窒痣智致滞致置痔至挚峙制轾踬治知识制质炙志	姪止植织栀咫泜氏芷脂胝值汁址吱肢执摭祇祉踯枝蜘直支掷知征只质纸趾只之指祗职芝旨卮殖	字恣渍孳自	仔訾紫滓籽淄锱缁赀梓咨兹子姿孳资孜辎滋咨龇玆髭吱	忱忌忍忸忪快忘
忍	荏稔	刃衽妊纫人仞儿轫任仁壬韧认饪赁	扔嚷攘壤	扔瓤让攘仍禳	志忱忌忸忪快忘
忱	陈宸娠谌晨臣尘辰沉沈	谶榇称衬疢琛趁瞋	场长苌藏涔尝诚城程承曾盛徜尝层呈常岑乘肠裳澄丞惩偿橙成嫦	场畅猖倡敞唱秤撑氅骋参称伥昌鲳仓娼舱瞠沧逞苍厂怅伧	志忌忍忸忪快忘
快	筷刽桧会块脍侩		怪	拐乖拐	志忱忌忍忸忪忘
忸	钮扭纽	妞女拗牛	柳绿律麓戮铆怒鹭暸滤鸟录穋禄率嬝袅赂路露鹿僇碌氯了陆虑瞭	刘廖𬬻料鲈膂馏屡硫履努榈琉卤吕撩橹瘤溜缕褛燎庐陆虏瞭尿铝卤缭聊掳潦流胪疗颅炉辽噜奴旅娄闾侣六弩留芦寮卢泵鲁浏寥霤嘹僚驽遛驴榴泸	志忱忌忍忪快忘
忪	嵩松盅忠钟中钟衷松崧终淞	宋讼踵仲众送冢诵悚颂湩中肿怂重耸冢种	肫纵樽鬃荪孙棕飧屯谆踪尊综遵宗	偬吮损榫准总笋粽纵圳俊潠舜综盾准从瞬顺撙	志忱忌忍忸快忘
戒	芥疥界藉诫解借介届	捷阶拮皆桔街截诘节杰桀揭孑颉接碣姊劫栉解嗟羯讦竭睫偕撷结洁姐杰	蟹切惬骇懈妾窃燮楔泄绁榭邂屉解泄屑怯械卸泻亵谢契挈锲	携协歇切写邪斜些且挟谐伽蝎鞋偕撷颉茄血勰胁	我
我		卧窝沃斡莴龌倭渥涡握			戒
抄	勦钞剿超	潮巢朝嘲吵炒晁	抽糙操	嘈溴绸鯈惆操酬愁辏曹俦丑糙丑稠仇草畴凑槽筹踌臭裯漕	把抉扭扮技扯抆折扶扳抒抓扼抑找抖批抗投
抗	亢伉炕	糠慷康扛	艮亘杠	垦艮龈肯根跟缸纲冈港啃岗釭肛扛恳杠钢刚	把抉扭扮技扯抆抄折扶扳抒抓扼抑找抖批投
抖	陡枓斗蚪	豆读斗窦痘脰都兜逗	讨导岛倒捣祷	刀涛萄焘韬桃偷头梼淘盗洮滔透逃稻啕悼到绦导叨陶套掏倒蹈饕投道	把抉扭扮技扯抆抄折扶扳抒抓扼抑找批抗投
技	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己藉鸡矶乩积几绩期屐机楫瘠嵇迹迹基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲𪟝稽吃亟跻籍岌叽济戟饥	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉席琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆戚息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜𫍻谿稽牺唏嘻凄晞西席熄奚戚七袭檄僖	把抉扭扮扯抆抄折扶扳抒抓扼抑找抖批抗投
扶	氟缚匐夫蝠绋芾幅孚弗辐绂袱福浮伏符菔拂涪怫佛服芙俘	富馥覆附肤俯𫓧复府夫腑腐𫖯甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护	把抉扭扮技扯抆抄折扳抒抓扼抑找抖批抗投
抉	𫛞掘鳜决獗谲蹶劂脚倔玨角攫爵孓崛觼觉蕨诀厥绝嚼噱	倔蹶嗟	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱	把扭扮技扯抆抄折扶扳抒抓扼抑找抖批抗投
扭	钮纽忸	妞拗牛	铆柳了暸鸟瞭嬝袅	尿刘廖缭聊潦流料疗辽馏硫六留寮泵琉浏寥撩瘤溜霤僚嘹燎遛陆榴瞭	把抉扮技扯抆抄折扶扳抒抓扼抑找抖批抗投
把	靶	跋伯笆吧杷芭霸耙叭疤坝巴扒钹爸捌罢琶八拔灞			抉扭扮技扯抆抄折扶扳抒抓扼抑找抖批抗投
扼	愕詻鳄遏俄轭哑噩恶呃锷颚鄂饿厄垩萼	额俄蛾哦婀讹娥阿峨鹅蚵			把抉扭扮技扯抆抄折扶扳抒抓抑找抖批抗投
找	沼爪	钊棹朝昭肇罩炤诏晁召著赵照兆招嘲櫂	澡帚走藻肘早蚤枣	皂鄹胄轴遭妯周骤绉造粥宙灶凿周燥噪邹糟奏胄纣陬揍舟昼噪咒啁籀皱躁洲州	把抉扭扮技扯抆抄折扶扳抒抓扼抑抖批抗投
批	劈坏披铍被纰匹丕霹	陂譬疲仳否沘僻癖琵啤辟鼙脾匹媲皮痞埤辟枇陴铍屁纰罢毗疋裨			把抉扭扮技扯抆抄折扶扳抒抓扼抑找抖抗投
扳	搬般班斑颁瘢	板瓣拌舨扮办阪姅版绊板半伴钣			把抉扭扮技扯抆抄折扶抒抓扼抑找抖批抗投
抒	殊橾疏蔬书输枢舒梳	树叔塾菽术淑赎黍恕属述漱竖束熟数庶鼠倏𫉄戍暑孰薯蜀墅疏署曙	苏苏酥苏稣	塑肃粟诉素俗蓿簌宿缩速嗉溯夙	把抉扭扮技扯抆抄折扶扳抓扼抑找抖批抗投
扯		坼撤车彻掣澈辙		策恻测册厕侧	把抉扭扮技抆抄折扶扳抒抓扼抑找抖批抗投
折	蜇哲折摘慑辄谪辙褶	浙遮这著蔗螫赭鹧者宅	则择泽贼责笮啧窄咋	仄侧怎	把抉扭扮扯技抆抄扶扳抒抓扼抑找抖批抗投
扮	瓣拌办伴半绊姅	板搬般斑舨颁瘢阪版班扳板钣			把抉扭扯技抆抄折扶扳抒抓扼抑找抖批抗投
投	头	偷头透	洮桃涛萄陶焘梼淘逃啕	刀涛斗蚪岛韬豆捣窦都盗祷陡滔枓读斗脰痘稻兜悼讨到导绦叨套倒掏蹈饕抖道逗	把抉扭扮扯技抆抄折扶扳抒抓扼抑找抖批抗
抓	挝	爪			把抉扭扮扯技抆抄折扶扳抒扼抑找抖批抗投
抑	屹艺肄轶刈谊呓缢逸佾溢劓疫懿镒毅义邑亿液佚役易羿弋裔蜴驿弈帟译翌异益臆腋亦艾曳诣议意绎忆掖浥翳奕一翼衣	漪尾咦姨椅壹蚁饴旖谊偯迤栘移以彝夷已遗沂宜咿医颐伊噫疑乙怡贻揖𫍙迆蛇矣圯胰仪一衣痍倚依			把抉扭扮扯技抆抄折扶扳抒抓扼找抖批抗投
抆	文闻问紊免汶	文闻瘟雯吻纹玟蚊温稳塭刎	韵望员运旺瓮妄晕酝蕴佣王孕熨用愠忘	拥往踊佣雍翁魍蓊涌勇嗡耘亡惘蛹甬王臃网陨罔咏涌尢芸云鄘泳永慵筠昀晕庸氲纭汪允匀邕俑枉辋云壅恿	把抉扭扮扯技抄折扶扳抒抓扼抑找抖批抗投
改		垓盖赅该丐溉钙概	恺剀楷凯慨岂	开咳揩愒忾慨	攻攸
攻	共工宫红蚣恭肱躬功弓供釭龚公	矿巩共汞贡供廾拱	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐捆棍困控	改攸
攸	幽悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉	邀要么哟夭妖吆腰	要淆耀夭崤咬杳谣瑶侥窈钥尧摇洮鹞舀榣乐肴姚遥肴窑药拗曜爻	攻改
旱	憾悍颌銲翰撼汉捍瀚汗颔焊	含函和韩干汗涵蚶罕鼾喊寒酣	贩泛泛犯范饭梵泛范	繙矾番反藩蕃墦樊凡烦翻钒返幡繁帆	
更	茎惊泾粳睛鲸亘精庚荆菁兢经羹晶耕旌赓京	竟颈景靖粳梗庚劲警静径埂耕哽井痉亘竞净镜憬耿敬阱璟羹迳赓境	青欣吭艮铿锌心馨芯矜蜻筋坑襟倾跟觔鲭侵䜣钦巾兴新金亘亲阬津卿根禁莘轻惺薪嵚斤浸星辛氢腥猩顷昕清今	邢垦信烬芯秦情坑刑跟倾缙谨磬噙沁省陉琴进恳芹醒兴庆幸龈亲噤肯尽形觐幸揿啃顷锦近硎吭艮铿罄擎劲擒行禽瑾檠型晴性尽馑晋亘紧勤阬根仅禁寝杏浸寻衅悻姓请	
