#汉字	同音同调	同音异调
一	壹	漪
芬	纷吩氛分	粉愤粪奋份忿焚坟
芥	届介界借解诫戒	接节杰竭截揭阶皆街劫捷姊结洁姐
芯	衅欣薪新辛信心锌	寻
虎	许唬	沪狐互户葫忽胡湖壶呼戏乎护糊蝴弧
虱	狮失施诗师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
初	出	矗储锄畜触楚橱除处础厨雏
表		标膘彪
轧	讶亚	牙压蚜鸭价鸦雅呀涯衙押芽哑
迎	荧营蝇赢萤莹盈	影莺鹦婴英应映缨樱景颖硬鹰
返	反	樊范犯烦繁帆番饭凡泛翻矾贩
近	进尽劲仅禁浸晋	津金斤锦紧巾今谨筋襟
采	彩睬踩菜	财材猜才裁
金	津斤巾禁浸今筋襟	进尽锦紧劲仅谨近晋
长	场丈涨掌帐胀偿常杖尝仗裳肠账障	唱彰昌厂樟畅倡敞猖张章
门	们	闷
阿	啊	噩愕俄遏额哑恶饿讹鳄鹅蛾扼
阻	祖组诅	卒族租足
附	妇赴傅赋富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
雨	予屿与语羽宇	于愈愉榆浴淤狱渔娱豫舆隅遇谷喻域逾裕玉尉育誉鱼寓欲愚御迂郁预吁芋
青	氢倾卿顷轻清蜻	亲庆情擎请晴
非	菲啡飞	废费沸肺诽吠肥匪
亭	庭蜓廷停	厅艇听挺
亮	凉量谅晾辆	两俩良粮梁粱
信	衅呻绅申深参身芯伸	沈甚欣寻薪婶慎新辛审肾心渗锌神
侵	亲钦	勤擒秦琴禽寝芹
侯	喉猴	候吼厚后
便	辫辨辩遍变	偏片蝙篇翩扁匾边鞭编贬骗
侠	狭匣洽挟暇峡霞斜辖	虾厦瞎下吓夏
俏	窍峭跷撬壳翘	巧桥侨锹瞧憔乔鹊敲悄雀
保	宝堡饱	爆包刨暴薄雹苞豹褒抱报胞
促	错趋卒趣醋簇	粗
侣	履屡旅娄缕铝吕	氯滤律绿虑驴率
俘	芙辐蝠浮福幅服缚袱符扶伏拂夫	妇赴腹麸付脯附赋斧父负甫敷傅咐肤抚俯府辅富复孵腐副
俊	骏峻竣菌	窘君尊钧遵均龟军
俗		缩速肃宿粟酥塑诉素苏溯
侮	武舞伍捂午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
俐	立吏砾雳丽痢隶沥粒励厉力荔历莉例利栗	李离礼犁厘理哩黎篱狸梨漓璃里鲤
俄	噩愕遏额哑恶饿讹鳄鹅蛾扼	阿
系	夕细隙戏	悉膝熙厘习畦息栖吸惜洗携晰熄析锡席行徙袭媳西喜牺昔犀稀嬉希溪蟋
冒	贸茂帽貌	毛茅矛锚猫
冠	观惯官棺贯罐灌关	馆管
刹	岔差	察叉插喳查茶
剃	惕屉涕替	剔梯提体啼蹄堤题踢
削	嚣哮宵雪硝箫销萧穴血消	靴晓孝效肖小笑酵校薛学啸
前	干潜黔钱钳	嵌浅千迁欠牵纤签谴铅谦遣歉
克	课可刻客	磕苛咳坷科蝌棵壳渴颗
则	窄择泽贼责	怎侧
勇	泳蛹踊拥咏永	庸用佣
勉	免冕娩缅	绵眠面棉
勃	泊舶渤搏白柏伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
劲	径境竞进靖仅禁竟浸镜晋静尽净敬近	兢荆茎谨襟鲸津经金斤警晶惊锦井京巾今颈精睛阱紧更景筋
南	难男
却	壳鹊怯确雀	瘸缺
厚	候后	侯猴吼喉
叛	判畔盼	胖潘攀般盘
咬	夭舀	侥摇么哟淆腰遥肴姚耀药谣乐吆钥拗窑要邀妖
哀	埃挨哎唉	蔼碍爱艾隘矮
咨	资姿滋吱	自字紫仔籽子滓
哎	哀挨唉埃	蔼碍爱艾隘矮
咸	嫌衔弦舷涎闲贤	仙现馅显掀险陷先腺纤线限铣癣鲜献县宪
咳	慨卡壳	骇苛害刻渴咖颗哈克可还开海磕坷凯科客课蝌棵孩岂揩亥楷
咽	谚页淹焰艳奄雁烟验沿业堰叶厌谒砚唁宴殷夜研燕射	严炎演爷颜阎野延衍椰癌盐冶言掩眼也
咪		密靡弥蜜米秘迷谜觅泌糜
品		频贫濒拼聘
哄	轰烘	虹宏汞鸿洪红
哈	咖	蛤咳卡
咱	砸杂	暂赞
咧		裂列劣烈猎
垂	捶椎锤	吹炊
型	邢刑形行	醒腥星性兴姓猩杏幸省
垢	够购构	苟勾沟钩狗句
城	呈成惩程诚承乘盛橙澄	称秤撑逞
垮		夸跨胯
奕	腋邑逸艺肄掖亦意抑义溢疫异役易忆翼衣益亿液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
契	骇屉泣迄屑蟹怯楔窃懈械妻谢器切气弃砌卸汽企泻解	鞋戚畦稽漆谐歇脐邪七只鳍写协奇凄些祈且骑枝启旗栖挟携欺斜起歧柒胁乞棋齐其溪崎岂血期茄
奏	揍骤	走
姜	将浆江僵疆缰	桨酱蒋强匠讲奖降
姿	资滋咨吱	自字紫仔籽子滓
姨	夷宜疑蛇遗仪一移胰谊	医艺肄意抑伊疫异漪忆翼衣益奕液毅屹艾依已议以倚腋邑逸掖椅乙亦义溢役易揖尾亿译绎蚁矣壹
娃		袜瓦洼蛙挖
姥	亩老姆母拇牡	劳模烙牢幕募慕木酪暮捞沐唠牧目墓穆络睦
姚	侥摇淆遥肴谣窑	么耀夭哟舀腰药乐咬吆要拗钥邀妖
奸	坚兼尖艰溅歼煎渐间监肩	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
威	委偎萎	为卫薇位喂伪尉维胃未味违遗纬慰蔚微桅伟尾谓苇围唯危魏巍畏
姻	因殷茵音阴	印瘾隐吟听银淫饮引蚓
孩	还	骇咳害亥海
宣	喧轩	选炫漩玄悬旋还县
宦	唤换幻痪焕涣患	缓环欢还
室	拭势逝是使柿侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
客	克课刻可	磕苛咳坷科蝌棵壳渴颗
封	丰疯峰风枫锋讽蜂	奉凤缝逢冯
屎	使史驶始矢	拭提匙势室施时柿侍拾饰誓狮氏实诗恃什示石食十式事射释嗜适尸失逝硕是虱士蚀市世试视识师湿
屏	苹萍饼平禀柄评秉坪丙冯瓶凭	冰兵乒病并
尸	狮失诗施虱师湿	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
屋	于巫诬乌呜污恶	无务伍雾午吴舞勿梧五武芜悟亡蜈晤误物坞捂侮鹉
巷	像相橡项向乡象	想祥箱镶厢详享响湘翔香降
帝	的弟蒂递第地缔	笛抵嘀低嫡滴底涤敌芽
帅	蟀硕烁数率勺	说摔甩衰
幽	悠优忧	佑尤由游友邮犹又油诱有幼右
度	肚渡踱堕舵杜惰跺驮镀妒	牍朵夺堵躲督毒都读多睹独赌
建	践溅鉴渐健荐监件涧键舰间贱剑见箭	坚柬拣捡茧兼简尖检剪俭艰碱减煎歼肩奸
很	狠	痕恨
待	贷戴袋带大代逮呆怠	歹
徊	怀淮槐	坏
律	氯滤绿虑率	侣履屡旅娄驴缕铝吕
后	候厚	侯猴吼喉
怒		努奴
思	司丝斯撕嘶私	死食四饲伺肆似赐寺
怠	贷袋带大待逮代戴	歹呆
急	辑即籍吃棘脊唧借嫉击级寂集及圾吉极疾	纪叽妓稽给荠记几迹既鲫基饥箕继奇济挤积寄畸冀骑讥际激绩居祭机季剂系计技忌肌其己鸡期
怨	愿院远	猿源宛原援园元冤鸳圆辕渊缘袁员
恍	幌谎晃	黄荒皇慌煌凰惶蝗
恰	洽	卡
恨		痕很狠
恢	堕挥辉徽灰	虫茴惠晦讳贿汇回绘毁悔诲慧会溃秽蛔
恒	横衡	哼
恃	拭势逝室是使柿侍市士世饰适誓试氏视示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
恬	填甜田	添天舔
恤	叙畜绪酗序絮旭婿蓄续	许徐需虚须吁
扁	偏篇翩匾贬	片辫蝙便辨辩遍变边鞭编骗
拜	败	白百摆
挖	洼蛙	娃瓦袜
按	岸案暗	鞍庵氨俺安
拼		频贫濒品聘
拭	势逝室是使柿侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
持	匙驰池迟弛	翅斥赤吃尺嗤齿耻侈
指	只址征止纸趾旨	植治致制直脂窒掷氏织帜执稚蜘之志智挚枝肢值职至支秩吱置汁芝知滞殖识质
拱	巩矿共汞	宫红弓攻蚣躬工公贡恭功供
拷	考烤	铐靠
拯	整	丁政正征筝怔证症狰郑睁挣蒸争
括	阔扩瓜廓蜗刮	卦挂寡褂
拾	提硕时舍蚀叶涉摄设社实食什石十射赦	拭匙势室施屎使柿侍驶饰誓狮氏舌诗恃示奢式史事释嗜适尸失逝是虱士市世赊矢试视甚识蛇始师湿
拴	栓	涮
挑		跳条调
挂	卦褂	刮寡瓜蜗括
政	正郑症证挣	丁征整睁拯狰筝怔蒸争
故	估雇告顾固	孤沽辜股凸古家咕鼓姑滑贾骨谷
施	狮失诗虱师湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
既	际纪妓荠祭季记剂系计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
春		醇唇蠢淳纯
昭	嘲招朝着召	赵罩找爪兆沼照
映	应硬	鹦婴蝇缨赢萤荧莺影营迎莹英樱景颖盈鹰
昧	媚妹	美媒煤每霉枚梅楣玫眉没
星	腥兴猩	邢行型刑形醒性姓杏幸省
昨	作	做坐凿左座
柿	拭势逝室是使侍市士世饰适誓试氏视恃示式识事释嗜	提匙施时屎驶拾狮实诗食什石十史射尸失硕虱蚀矢始师湿
染		然燃
柱	助住注祝铸蛀驻	朱贮煮蛛主猪拄筑术珠属轴竹烛逐诸嘱株
柔	揉蹂	肉
某		谋
柬	拣捡茧检简俭剪减碱	践尖建鉴歼健监涧键兼贱肩箭溅渐荐坚艰舰煎间件剑见奸
架	价稼嫁贾假驾	佳荚钾挟加家甲颊夏夹嘉茄
枯	窟哭	酷裤库苦
栅	炸诈乍	眨喳渣查扎闸
柄	饼禀秉屏丙	冰兵病并
柑	干肝竿杆甘	感赶敢秆橄
查	察喳渣茶扎	眨刹诈栅岔炸叉乍差插闸
柏	泊舶渤搏勃白伯博卜脖薄驳膊荸	剥跛簸玻播拨般菠
柳	铆	刘流榴陆硫留瘤溜泵六琉馏
柒	戚漆栖凄溪欺妻七	泣迄畦稽脐只鳍气奇砌契企祈骑枝启旗歧起器乞棋弃汽齐其崎岂期
歪		外舀
殃	央鸯秧	阳羊养杨扬痒样氧仰洋漾
段	锻缎断	短端
毒	牍独读	肚渡堵督杜都睹度镀妒赌
泉	卷拳权犬痊全	劝圈券
洋	杨扬阳羊	鸯养样痒秧殃氧仰央漾
洲	周州舟粥	昼肘咒皱帚轴宙
洪	虹鸿红宏	汞轰哄烘
流	刘榴硫留瘤泵琉	铆陆溜柳六馏
津	金斤巾禁浸今筋襟	进尽锦紧劲仅谨近晋
洞	栋动冻	懂董东冬
洗	徙喜	悉熙厘习畦惜锡戏媳隙牺西希膝息栖吸携晰熄析席夕行系袭昔犀稀溪嬉蟋细
活		豁或和获伙货火祸霍惑
洽	恰狭匣挟暇峡侠霞斜辖	虾瞎下卡夏吓厦
派	湃	排牌徘拍
汹	凶匈胸兄	雄熊
洛	烙落酪络骆	箩萝锣骡裸螺罗逻
泵	刘流榴硫留瘤琉	铆陆溜柳六馏
炫	旋漩	喧选轩玄悬宣还县
为	卫薇位喂伪尉维胃未味违遗慰蔚微桅谓围唯危魏巍畏	委伟尾苇威偎萎纬
炬	聚巨剧距具拒俱惧句锯据足	拘鞠蛆沮居车橘驹矩举局菊
炭	碳探叹	贪檀毯袒谭坦潭弹瘫痰坛昙谈滩摊
炸	栅诈乍扎闸	眨渣喳查
炮	刨咆泡袍	跑抛
牲	生升胜笙甥声	乘绳剩圣盛省
狠	很	痕恨
狡	侥较搅矫绞饺角剿脚缴	交椒轿叫觉蕉娇胶焦窖礁教校骄浇郊嚼
玷	店垫殿甸淀佃奠电惦	颠典点碘
珊	衫山杉删扇	闪陕善单赡擅膳
玻	剥播拨般菠	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
玲	凌灵菱伶蛉铃陵龄翎零	岭另领令
珍	诊侦榛斟针贞真	阵振枕震疹镇
甚	舌什慎肾蛇渗神	婶拾涉奢赦射身呻信绅舍叶赊摄参设社沈审申深伸
畏	为卫谓位尉喂伪胃未味遗慰蔚魏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
界	届介借解诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
疫	腋邑逸艺肄掖亦意抑义溢役异易忆翼衣益亿奕液毅译绎屹艾一议谊	夷疑医仪伊漪依已以倚椅乙遗移姨胰宜尾揖蛇蚁矣壹
疤	八巴扒捌笆芭吧叭	爸靶霸把伯耙罢拔跋坝
皆	接揭阶街结	节杰竭截届界介劫捷借解诫戒姊姐洁芥
皇	黄煌凰惶蝗	恍谎荒慌晃幌
盈	荧营迎蝇赢萤莹	影莺鹦婴英应映缨樱景颖硬鹰
盆		喷
杯	悲背碑卑	臂贝被辈焙狈惫北备倍
盅	中忠衷终钟	种肿众重仲
省	醒	邢生刑牲腥星剩姓猩幸盛形甥行型乘绳性升圣胜笙杏声
盹	囤吨盾顿钝	墩蹲敦
相	像橡项向箱乡镶巷厢湘象香	想祥详享响翔降
眉	媒煤霉枚梅玫楣没	美每昧媚妹
看	刊堪勘	砍坎
盾	吮囤吨盹顿钝	敦墩瞬顺蹲
盼	叛判畔	胖潘攀般盘
砂	沙煞杉纱杀	霎厦傻
研	谚咽炎淹焰艳颜延雁验沿堰癌厌砚唁严阎宴燕盐言	演奄殷衍烟眼掩
砌	泣器迄气弃汽契企妻	戚稽畦漆脐七只鳍奇凄祈骑枝旗启栖欺起歧柒乞棋齐其溪崎岂期
砍	坎	刊勘堪看
祈	只鳍枝旗棋畦奇齐其崎脐歧骑期	泣迄戚稽漆妻七气砌契凄企启栖欺柒起器乞弃汽溪岂
科	磕苛蝌棵刻颗	咳坷客课壳渴可克
秒	渺藐	庙描妙瞄苗
秋	蚯丘龟	求仇球囚
穿	川	传喘船串
突	凸徒涂图屠途	土吐兔秃
竿	干肝杆甘柑	感赶敢秆橄
籽	仔滓子紫	资滋自字姿吱咨
红	宫虹宏弓共攻蚣躬工公鸿恭洪功供	汞巩烘哄贡轰拱矿
纪	际妓荠祭季记剂系既计鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
纫	赁认韧刃任	仁人儿忍
约		悦越阅耀岳药粤跃说乐钥月
缸	扛岗纲冈肛钢刚	港
美	每	媒煤霉枚昧妹梅楣玫媚眉没
耐	奈	奶乃
耍		刷
胖	般盘	旁膀潘叛磅螃判攀乓庞畔盼
胚	坏	陪培赔佩配沛
胃	为卫谓位尉喂伪未味遗慰蔚魏畏	委伟尾薇苇违维围威偎萎纬唯危微巍桅
背	卑臂贝被辈焙狈惫悲杯备碑倍	北
胡	壶狐糊葫蝴弧湖	许呼沪互戏唬户乎护虎忽
胎	苔	泰台太抬汰态
胞	褒包苞	爆堡饱刨暴薄雹保豹宝抱报
致	智挚治制至秩置窒知滞帜识稚质志	址植直脂掷只氏征织执蜘之枝肢值止纸趾职支吱汁芝殖指旨
范	泛犯贩饭	樊返矾繁烦帆番凡翻反
茅	矛锚毛	贸冒猫貌帽茂
苛	磕科蝌棵刻颗	咳坷客课壳渴可克
苦		裤枯酷哭库窟
茄	佳加家夹嘉	切荚假钾挟价贾契稼甲怯颊窃嫁夏且架驾
若	弱惹	热
茂	贸冒帽貌	毛茅矛锚猫
茉	默漠磨墨脉末沫莫膜陌寞没	么蘑摩魔抹摸摹模
苗	描瞄	庙秒妙渺藐
英	莺婴鹦应缨樱鹰	荧影营迎莹蝇映赢萤景颖硬盈
茁	卓浊灼拙着啄琢酌	桌捉
苔	台胎抬	态泰汰太
苞	褒包胞	爆堡饱刨暴薄雹保豹宝抱报
苟	狗	勾钩沟垢购构句够
虐	疟
虹	洪鸿红宏	汞轰哄烘
衍	眼掩演	谚咽炎淹焰艳颜奄延雁烟验沿堰癌厌砚唁严阎殷宴研燕盐言
衫	山杉删珊扇	闪陕善单赡擅膳
计	际纪妓荠祭季记剂系既鲫继技济忌寄冀骑	叽稽给籍即吃棘脊唧借急几嫉迹基集级箕寂饥及奇挤积畸吉讥激绩辑居机击圾肌其己鸡期极疾
订	锭定钉	丁盯叮鼎顶
贞	诊侦珍斟榛针真	阵振枕震疹镇
负	附妇赴傅赋富复咐父腹副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
赴	附妇傅赋富复咐父腹负副付	辐浮缚符麸伏拂脯福斧俘袱甫夫敷芙蝠肤抚俯府辅幅服孵扶腐
趴		爬扒怕耙帕
军	均君钧龟	菌窘骏峻竣俊
轨	鬼诡	傀归跪规瑰龟桂柜闺贵
述	树疏术数竖曙庶束署恕墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
迫	泊朴破魄	剖波颇坡婆泼
郊	交椒蕉娇胶焦礁教骄浇	矫侥搅狡轿叫觉绞饺角窖剿校脚较嚼缴
郎	狼琅榔廊	浪朗
郁	域裕玉愈尉育誉浴寓欲芋御狱与豫预遇语吁谷喻	逾予雨屿迂于愉渔榆鱼娱舆隅愚羽淤宇
重	中虫种众崇仲	充忠盅宠肿衷冲终钟
限	现馅陷腺线献县宪	仙嫌显衔闲弦险掀先纤涎舷癣鲜铣贤咸
陋	露漏	篓搂楼娄
陌	默漠磨墨脉末沫莫膜寞茉没	么蘑摩魔抹摸摹模
降	将酱祥强匠详翔	箱僵镶讲湘象相乡享响奖像想桨姜江蒋向巷疆橡项浆厢缰香
面		免冕棉眠娩绵勉缅
革	阁合格隔葛蛤	搁戈割胳哥鸽疙歌
韭	九酒久灸纠玖	就舅揪鸠臼旧救疚究
音	因殷茵姻阴	印瘾隐吟听银淫饮引蚓
页	咽夜业叶射谒	爷野椰也冶
风	丰疯峰封枫锋讽蜂	奉凤缝逢冯
飞	菲啡非	废费沸肺诽吠肥匪
食	硕提时饲蚀拾似寺实什四石十伺肆射赐	拭匙势室施屎丝使柿侍驶饰誓嘶私狮氏死诗恃示式史事撕释嗜适尸失逝是虱士思市世斯矢试视司识始师湿
首	守手	售收熟兽瘦受授寿
香	相箱乡镶厢湘	像橡项想祥向巷详享响翔象降
乘	呈惩成城程诚承剩圣胜盛橙澄	称秤牲生绳升撑逞笙省甥声
倍	臂背贝被辈焙狈惫备	卑悲杯北碑
俯	腐斧父抚甫府辅脯	妇赴辐浮缚腹符麸伏拂付附赋福俘负袱夫芙敷傅蝠咐肤富复幅服孵扶副
倦	眷圈卷绢	鹃捐身
俩	两	凉量谅粱晾良亮辆梁粮
值	植殖执职直质掷	址治致制脂窒只氏征织帜稚蜘之志智挚枝肢止纸趾至支秩吱置汁芝知滞指识旨
借	届界介解诫戒芥	接节杰竭截揭阶皆街劫捷姊结洁姐
倚	尾椅乙蚁矣已以	夷疑医艺肄意抑仪伊疫异漪忆翼衣益奕液毅屹艾一依议谊腋邑逸掖亦义溢遗移役易姨胰宜揖亿译绎蛇壹
倒	道悼到稻盗岛导祷蹈捣	刀叨
们	门	闷
俺		按案鞍庵暗氨岸安
倔	掘觉决角绝诀爵脚嚼
俱	聚蛆沮居车具炬句锯据拘巨剧距拒驹惧足	鞠橘矩举局菊
倡	唱畅猖昌	场长偿厂常尝肠裳敞
个	各	搁阁合革隔蛤胳鸽歌格戈割葛哥疙
候	厚后	侯猴吼喉
倘	淌躺	堂趟唐糖烫棠膛汤搪塘
修	休羞	锈臭宿袖嗅秀朽绣
伦	仑轮抡论沦
仓	苍舱沧	藏
兼	坚尖艰溅歼煎渐间监肩奸	践建鉴健涧拣捡键检碱贱箭柬简剪荐茧俭舰减见件剑
冤	宛渊鸳	远源猿辕原愿怨援缘园元袁院员圆
冻	栋洞动	懂董东冬
凌	灵菱玲伶蛉铃陵龄翎零	岭另领令
准		谆屯
剖	颇	泊泼朴魄坡破波婆迫
剔	梯踢	屉体提涕啼惕剃替蹄堤题
刚	扛岗纲冈缸肛钢	港
剥	玻播拨般菠	泊舶渤搏勃驳白柏伯跛博卜簸薄脖膊荸
匪	菲诽	啡非废费沸肺肥吠飞
卿	氢倾顷轻清蜻青	亲庆情擎请晴
原	猿源辕援园缘元袁员圆	远宛渊愿怨冤鸳院
哨	绍少召	稍捎梢勺烧芍
唐	堂糖棠膛搪塘	淌躺趟烫倘汤
唁	谚咽淹焰艳宴雁沿验研燕堰厌砚	严炎演颜奄延烟阎殷衍癌盐言眼掩
哼		横恒衡
哥	搁戈割胳鸽疙歌	阁合格革隔葛蛤各个
哲	摘辙折	遮宅浙这着蔗者
唆	缩嗦梭	锁索琐所
哺	捕补卜	埠步不怖部布簿
哩	李礼理里鲤	厘黎丽隶沥励历莉篱立吏犁狸梨砾雳痢璃离粒厉力荔漓例俐利栗
哭	窟枯	酷裤库苦
员	晕酝猿源原运援园蕴元圆孕辕缘袁韵	陨允远云宛渊怨愿院冤鸳耘匀
唉	哀挨哎埃	蔼碍爱艾隘矮
哮	嚣削宵硝箫销萧消	孝晓肖校小笑酵效学啸
哪	那馁	拿钠呐纳捺内娜
唧	叽即稽籍吃棘脊借急几嫉迹基集级寂饥及箕奇积畸吉讥激绩辑居机击圾肌其鸡期极疾	纪妓给荠记既鲫继济挤寄冀骑际祭季剂系计技忌己
唇	醇淳纯	春蠢
圃	普浦谱	菩瀑仆扑葡朴铺暴蒲脯
埂	耿梗	羹更耕
埋		迈麦脉卖买
埃	哀挨哎唉	蔼碍爱艾隘矮
夏	厦钾暇甲下吓贾假	洽价瞎霞嘉荚家稼嫁辖架佳狭匣加挟斜夹驾虾峡侠颊茄
套		掏滔萄逃淘陶讨桃涛
娘		酿
娜	那钠呐纳挪捺	拿懦哪糯诺
娱	逾予愉于渔榆鱼舆隅愚	屿愈浴淤狱与豫遇羽语谷喻域裕雨玉尉育誉寓欲御迂郁预吁芋宇
娩	免冕碗宛婉晚勉缅挽	玩顽棉万腕眠丸绵完豌惋湾弯面
孙		笋损
宰	仔载	灾栽在再
害	骇亥	孩咳还海
家	沽辜估佳加咕姑孤夹嘉茄	凸钾价甲顾荚股古稼雇嫁架假谷挟鼓告滑夏骨驾贾颊故固
宴	谚咽淹焰艳雁沿验研燕堰砚厌唁	严炎演颜奄延烟阎殷衍癌盐言眼掩
宫	弓共攻蚣躬工公供恭功红	拱汞巩贡矿
宵	嚣哮削硝箫销萧消	孝晓肖校小笑酵效学啸
容	溶荣绒蓉榕熔融茸	冗
射	页咽提硕时业舍蚀叶拾涉摄谒设社实食什石十夜赦	拭匙势室施屎使柿侍驶饰冶誓狮氏舌诗恃示奢野式史事释嗜适尸失逝是虱士市世赊矢试视甚爷识蛇椰也始师湿
屑	骇屉谢蟹卸契泻楔解懈械	鞋写挟协些携谐歇斜邪血胁
展	崭斩盏	栈暂毡战占沾站瞻蘸绽颤
峭	窍跷撬壳翘俏	巧桥侨锹瞧憔乔鹊敲悄雀
峡	狭匣洽挟暇侠霞斜辖	虾厦瞎下吓夏
峻	骏俊竣菌	窘君钧均龟军
峰	丰疯风封枫锋讽蜂	奉凤缝逢冯
岛	导倒祷捣	道叨悼到稻盗刀蹈
差	刹雌岔叉喳插拆	瓷厕察柴次刺词此赐伺查茶祠辞豺慈磁
席	习袭息媳昔惜熄锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
师	狮失施诗虱湿尸	拭提匙势室时屎使柿侍驶拾饰誓氏实食恃什示石十式史事射释适嗜硕逝是市士蚀世矢试视识始
库	裤酷	窟枯苦哭
庭	蜓廷亭停	厅艇听挺
座	凿坐作做	昨左
弱	若
徒	凸涂图突屠途	土吐兔秃
径	境竞静净劲敬靖竟镜	颈兢惊鲸经精睛阱荆茎井警京更景晶
徐		叙畜绪恤酗旭蓄许需序虚絮婿吁续须
耻	齿侈尺	翅匙斥驰迟池赤持吃嗤弛
恐	孔	控空
恕	树疏术数述竖庶束署曙墅漱	暑梳殊枢黍输鼠薯叔属蜀淑书蔬舒赎熟抒
恭	宫弓共攻蚣躬工公供功红	拱汞巩贡矿
息	习袭媳昔惜熄席锡	悉熙厘畦徙戏隙西喜牺希膝栖吸洗携晰析系行夕犀稀溪嬉蟋细
悄	巧鹊雀	窍桥侨峭锹跷瞧撬憔壳乔翘俏敲
悟	勿务晤雾物坞误恶	无于伍巫诬午乌吴舞梧武五呜污芜亡屋蜈捂侮鹉
悍	旱焊翰撼憾捍汗汉	罕韩喊寒和函涵含酣
悔	虫贿毁诲会	恢茴堕惠晦讳汇挥回绘辉徽灰慧溃秽蛔
悦	越阅耀岳药粤跃说乐钥月	约
扇	衫山善杉单删珊赡擅膳	闪陕
拳	泉卷权痊犬全	劝圈券
拿		哪那呐纳捺钠娜
捎	稍烧梢	芍少勺绍召哨
挟	鞋狭洽匣暇携谐霞斜邪夹胁荚协峡侠颊辖	屉钾价瞎甲歇嘉写卸家契些稼下吓解嫁厦假架骇佳屑加蟹楔懈夏械驾谢虾泻贾血茄
振	阵震枕镇	诊疹侦珍斟榛针贞真
捕	补哺卜	埠步不怖部布簿
捂	武舞伍侮午鹉五	无于务雾巫诬乌吴勿梧呜污芜悟亡屋恶蜈晤误物坞
捆		困坤昆
捏		聂镊孽
捉	桌	卓浊茁灼拙着啄琢酌
挺	艇	听庭蜓廷停亭厅
捐	鹃圈身	倦眷卷绢
挽	宛娩碗婉晚	玩顽万腕丸豌完惋湾弯
挪	娜	糯懦诺
挫	锉撮措错	搓
挨	哀哎唉埃	蔼碍爱艾隘矮
捍	旱焊悍翰撼憾汗汉	罕韩喊寒和函涵含酣
捌	八巴扒笆芭疤吧叭	爸靶霸把伯耙罢拔跋坝
效	孝肖笑酵校啸	嚣晓哮削宵小硝箫销萧学消
料	燎了	撩聊疗缭辽寥潦僚嘹
旁	傍蚌谤膀磅螃棒庞	梆胖榜帮乓邦绑
旅	侣履屡娄缕铝吕	氯滤律绿虑驴率
时	硕实提食什石十蚀拾射	拭匙势室施屎使柿侍驶饰誓狮氏诗恃示式史事释适嗜尸失逝是虱士市世矢试视识始师湿
晋	进尽劲仅禁浸近	津金斤锦紧巾今谨筋襟
晃	幌恍谎	黄荒皇慌煌凰惶蝗
晒	杀	筛
晌	赏上	尚商裳汤伤
朗		琅浪廊狼郎榔
校	孝肖轿叫觉笑窖酵教效较啸	哮削硝椒角胶箫销学娇脚嚼侥矫狡宵蕉绞焦萧消郊嚣搅交晓饺小剿礁骄浇缴
核	合盖和荷何河禾盒褐	鹤喝吓呵贺赫
案	岸按暗	鞍庵氨俺安
框	况筐旷眶矿	狂
根	跟
桂	贵跪柜	傀归规鬼瑰诡龟闺轨
梳	疏殊枢输书蔬舒抒	术鼠曙束署暑属庶恕漱熟树黍叔薯述蜀赎淑数竖墅
栗	立吏砾雳丽痢隶沥粒励厉力荔历莉例俐利	李离礼犁厘理哩黎篱狸梨漓璃里鲤
桌	捉	卓浊茁灼拙着啄琢酌
